attitude	(n.)态度
size	(n.)大小,尺寸;规模;尺码
behave	(v.)举动
scary	(adj.)恐怖的,吓人的
blind	(adj.) 失明的;v.蒙蔽
serve	"v.可用作,可当......使;供 应;服务;对 ... ...有用;  ..."
apply	(v.) 应用;申请;适用
relax	(v.) 放松,休息
human	(adj.) 人的,人类的;n.人
stadium	(n.) 体育场,露天大型运动场
drawing	(n.) 绘图,图样
clear	"adj.清楚的;显然的;明确 的 ,澄清的;透明的;  晴 ..."
fairly	(adv.) 相当地
translate	(vt.) 转换;翻译
connect	(v.) 连接
hurt	"v.使受伤;adj.受伤的, 受损的"
involve	"v.涉及;卷入,使参与;包 含"
logo	(n.) 标识
poster	(n.) 海报
reasonable	(adj.) 合理的
enormous	(adj.) 巨大的
pick	"vt. 挑选;采摘;拾起;   n. 精品 ,精华"
lightning	(n.) 闪电
ring	"v. 鸣响 ,发出铃声;打电 话;   n. 戒指;  (电话) 响铃"
lab	(n.) 实验室 ,研究室
mushroom	(n.) 蘑菇;   v. 迅速发展
blow	(v.) 吹,  吹动,  吹气
earth	(n.) 地球
degree	(n.) 学位;度;程度
line	"n. 线 ,线条;路线; (戏剧 或电影的)  台词 ,对白;  ..."
fiction	(n.) 小说
exercise	"n. 操练 ,运动;活动;锻 炼;   v. 锻炼"
kilometre	(n.) 公里
recommend	(vt.) 推荐 ,介绍
generation	(n.) 一代人;产生
ambition	(n.) 雄心 ,野心
background	"n. 出身 ,经历; ( 图片 、布 景等的)背景; (事件的 ..."
wooden	(adj.) 木制的 ,木质的
convenient	"adj. 方便的 ,省事的;便利 的"
brilliant	(adj.) 极好的;才华横溢的
heat	"n.   【物理学】  热;高温; (v.) 加热"
few	"adj. 少数的;   pron. 不多, 很少"
weak	(adj.) 差的 ,衰弱的;软弱的
balcony	(n.) 阳台
jazz	(n.) 爵士乐
news	(n.) 新闻 ,消息
bee	(n.) 蜜蜂
agency	(n.) 代理机构
theatre	"n. 戏院 ,剧院 ( =theater)"
heavy	(adj.) 重的;程度深的
century	(n.) 世纪 ,百年
insist	(v.) 坚持
energy	(n.) 能源;活力
literature	(n.) 文学
general	"adj. 普遍的 ,总的;一般 的 ,普通的;全面的;  常 ..."
sell	(v.) 出售 ,卖
sour	(adj.) 酸的
local	"adj. 当地的;地方性的;   n. 当地人; (沿线每站都停 ..."
crop	(n.) 作物 ,庄稼
airline	"n. 航空公司;   adj. 航空公 司的 ,航线的"
regular	"adj. 定期的 ,有规律的;正 常的"
physics	(n.) 物理(学)
type	"n. 类型 ,种类;典型 ;   v. 打字"
western	(adj.) 西部的;西方的
shelf	(n.) 架子 ,搁板
bury	(v.) 隐藏 ,埋藏
spring	"n. 春天;泉 ,泉源;  弹簧; (v.) 反弹 ,跳 ,跃"
reach	"v. 抵达; (大或长等)足够 达到 ,发展到;与 ... ...取 ..."
sculpture	(n.) 雕刻 ,雕塑
present	"n. 现在,   目前;礼物(读 作/ˈprezənt/);   v. 呈现 ..."
twice	(adv.) 两次;两倍
build	"v. 建立 ,发展;建造;逐步 增强"
snack	(n.) 零食 ,小吃 ,快餐
mind	"n. 头脑 ,思想 ,心智;注意 力 ,心思;   v. 介意"
dangerous	(adj.) 有危险的,  引起危险的
curtain	(n.) 窗帘;幕布
recognize	"vt. 认出 ,辨别;   v. 认可; 公认"
describe	(v.) 描述
apart	"adv. 成碎片;分离地 ,分 开地;相隔 ,相距"
uncle	"n. 伯父 ,叔父 ,舅父 ,姑 父 ,姨父"
consider	"v. 考虑 ,细想;认为;把 ... 看作"
pile	(n.) 一堆;   v. 堆积
region	(n.) 地区,   区域 ,地带
slowly	(adv.) 缓慢地
replace	(v.) 代替 ,接替;更换 ,替换
drama	(n.) 戏剧
snake	(n.) 蛇
rule	"n. 规则 ,规定 ,规章 ,条 例;   v. 统治 ,控制"
form	"n. 形式;方式;表格;形 状;   v. 形成 ,产生,  ..."
dig	(v.) 挖掘 ,翻土
recycle	(v.) 回收利用
stage	(n.) 舞台;  阶段
campsite	(n.) 露营地
repeat	"v. 重复;   n. 重复段 ,反复 部分"
half	(n.) 半 ,半时;   det. 半数
pupil	(n.) 小学生
biography	(n.) 传记文学 ,传记
cave	"n. 山洞 ,洞穴;   v. 洞穴探 险"
art	(n.) 艺术;艺术品
depth	(n.) 深度
match	"v.   (使)相配;   n. 比赛; 相配 ,般配"
importance	(n.) 重要性
turn	"v. 使变成;翻动;转向;转 动;   n. 变化 ,转变;  时机"
scene	(n.) 场面 ,情景;景象
tongue	(n.) 舌头;   vi. 吹奏管乐器
alike	(adv.) 相像地 ,相似地
farmer	(n.) 农民 ,农夫
guy	(n.) 家伙
bell	(n.) 铃 ,钟,  门铃
accurate	(adj.) 准确的
forward	(adv.) 向前,  向将来;前进
enter	(v.) 进入;报名参加
profession	(n.) 职业
visitor	(n.) 游客
nature	"n. 大自然;天性;本质;性 格 ,秉性;性质"
meaning	(n.) 意思 ,含义;意义 ,价值
cent	(n.) 分
neighbour	(n.) 邻居 ,邻人
laptop	(n.) 笔记本电脑
cash	(n.) 现金
northeast	(n.) 东北;   adj. 位于东北的
unnecessary	"adj. 不必要的 ,不需要的, 多余的"
wheel	(n.) 轮子
promise	"v. 允诺 ,保证;   n. 诺言; 前景 ,前途;迹象 ,预示"
link	"v. 联系;连接;   n.   (链状 物的)环 ,节;联系"
relation	(n.) 关系 ,联系
vehicle	"n. 车辆;工具 ,手段;交通 工具"
escape	"v. 逃跑 ,逃脱;   n. 逃跑, 逃脱"
smile	(n.) 微笑;   v. 微笑
main	(adj.) 主要的 ,最重要的
dive	(vi.) 潜水 ,下潜
deliver	"v. 递送 ,交付;发表(演 讲)   ;传达"
top	"n. 顶部;   adj.   (位置 、级 别或程度)最高的;头等 ..."
urgent	(adj.) 急迫的
lift	"n. <英> 电梯;   v. 高兴起 来;使更愉快; (使)升 ..."
care	"n. 照顾 ,照料;   v. 关心; 在意"
parcel	(n.) 包裹
timetable	(n.) 时间表,  时刻表
guard	(n.) 看守;   vt. 看守 ,监视
free	"adj. 免费的;   自由的;免 于 ,不遭受;空闲的 ,有 ..."
remove	(v.) 移开;去除
bookshelf	(n.) 书架
surprise	"v. 使惊奇 ,使诧异 ,使感到 意外;   n. 惊喜 ,意想不 ..."
zero	(num.) 零
approach	"v. 接近;着手处理;   n. 方 法"
nurse	(n.) 护士
eastern	"adj. 东方的 ,东部的 ,朝东 的"
accident	(n.) 事故;意外;车祸
modern	(adj.) 现代的 ,现代化的
geography	(n.) 地理(学)
instrument	(n.) 仪器;乐器
leader	(n.) 领导
rare	"adj. 罕见的 ,难得的;稀少 的 ,稀有的"
zone	"n. 地带 ,空间 ,地区,   区 域 ,范围"
familiar	(adj.) 熟悉的
believe	(v.) 相信;认为
insect	(n.) 昆虫
active	(adj.) 积极的 ,主动的
bin	(n.) 箱柜 ,仓 ,垃圾箱
police	(n.) 警察 ,警方
engine	(n.) 引擎
branch	(n.) 树枝;分支机构 ,分部
print	"v. 打印;洗印,  印染;发 表;   n. 印刷,  印刷字"
ground	"n. 地;地面;土地;场地; 领域;   v.   (在某学科上 ..."
staff	"n. 工作人员;工作人员 ,全 体职员"
fear	"n. 害怕;担心;   v. 担心; 害怕"
digital	(adj.) 数字的;数码的
speaker	"n. 说话人 ,演讲人;说某种 语言的人"
departure	(n.) 离开
move	"v. 移动; (使)  改变位置; 发展 ,推移 ,变化;感动"
strong	"adj. 强大的;强壮的;强烈 的;猛烈的;坚固的"
alarm	"n. 警报器 ,警报;  闹钟;惊 恐 ,忧虑"
breath	(n.) 呼吸
prize	(n.) 奖品 ,奖赏
tuna	(n.) 金枪鱼
market	(n.) 市场;   v. 推销 ,促销
friendship	(n.) 友谊
map	(n.) 地图
climbing	(n.) 爬山
east	(n.) 东方
south	"n. 南方;   adv. 向南方 ,在 南方"
ingredient	"n. 成分 ,构成要素; (烹调 的)原料"
youth	(n.) 青年;青春
accompany	(v.) 陪伴;  陪同
spend	"v. 花(时间或精力)   ;花 费 ,用钱;度过 ,消磨"
technology	"n. 科技;技术 ,工艺 ,工程 技术"
attract	(v.) 吸引
service	(n.) 服务
lend	(v.) 借给(某人钱或东西)
headline	(n.) 大字标题
port	(n.) 港 ,港口,   口岸
refuse	(v.) 拒绝 ,谢绝
engineering	(n.) 工程
southwest	(n.) 西南方;   adj. 西南方的
author	(n.) 作者 ,作家
fresh	"adj. 新鲜的;新的 ,不同 的;清新的"
booking	(n.) 预约 ,预订
dessert	(n.) 甜点
capital	(n.) 首都;资金 ,资本
stomach	(n.) 胃,  胃口
knowledge	(n.) 知识 ,学识
far	"adj. 远的 ,遥远的;   adv. 很大程度上"
officer	(n.) 官员;高级职员;警官
wonder	"v. 想知道 ,想弄明白;   n. 惊奇 ,惊异;奇迹 ,奇观"
rainforest	(n.) (热带)  雨林
dozen	(num.) 许多;一打 ,十二个
interrupt	(v.) 打断
salmon	(n.) 鲑鱼
sock	(n.) 短袜
secretary	(n.) 秘书
mean	(v.) 表示 ,意思是 ,意味着
railway	(n.) 铁路
hundred	(num.) 百 ,百个;许多
success	(n.) 成功 ,成就;胜利
unfair	(adj.) 不公平的
track	"v. 跟踪 ,追赶;   n. 铁路轨 道;跑道;轨迹"
emergency	"n. 紧急情况 ,突发事件; (adj.) 紧急情况下的;应急的"
inform	(v.) 告知 ,通知
writer	(n.) 作家
wildlife	"n. 野生动植物;   adj. 野生 动植物的"
benefit	(n.) 好处;   v. 使......受益
spare	"adj. 多余的,  闲置的;空闲 的;   vt. 抽出 ,腾出"
site	(n.) 地点;  网站
drop	"v. 减少;  降低;投 ,丢;  中 途卸客,  中途卸货;放弃 ..."
way	(n.) 方法;道路;方式;方面
divide	"v. 分开 ,划分;  除以;  除; (n.) 差异"
lemon	(n.) 柠檬
meeting	(n.) 会议;会合 ,聚集
achievement	(n.) 成就
request	"n.   ( 正式或礼貌的)请求; 要求;   v. 要求 ,请求;  ..."
attempt	"vt. 试图,  尝试;   n. 努力, 尝试"
rugby	(n.) 英式橄榄球
jump	(v.) 跳
climate	(n.) 气候
location	(n.) 位置 ,地点
cattle	(n.) (总称)牛 ,牲口
artist	(n.) 艺术家 ,画家
centimetre	(n.) 厘米
include	(v.) 包括
member	(n.) 成员 ,分子;会员
furniture	(n.) 家具
disabled	(adj.) 有残疾的
financial	"adj. 金融的;经济的;财务 的"
cartoon	(n.) 卡通(片)   ,动画片
studio	(n.) 工作室
upper	(adj.) 较高的 ,上面的
fifth	(num.) 第五
rest	"n. 剩余部分;休息 ,休息时 间;   v. 休息 ,放松"
fee	(n.) 费用
candidate	(n.) 候选人,  申请人
drag	(v.) 拖 ,拉 ,拽 ,扯
souvenir	(n.) 纪念品
cool	"v.   (使)  冷却;变凉;   adj. 酷的;极好的 ,绝妙的"
lonely	(adj.) 孤独的
scientist	(n.) 科学家
unusual	(adj.) 不寻常的 ,不常见的
complain	(v.) 抱怨 ,发牢骚
disappear	(vi.) 消失
character	(n.) 角色;性格;字
honey	(n.) 蜜 ,蜂蜜
smell	"n. 气味;   v. 嗅,  闻( ......的 气味),  闻到"
team	(n.) 队 ,组
result	"n. 结果 ,成效;   v. 导致; (from)起因于,  因 ... ...而 ..."
national	(adj.) 国家的,  民族的
install	(v.) 安装 ,安置
healthy	(adj.) 健康的;合理的
telephone	(n.) 电话(机)
security	(n.) 安全;保护措施
report	(n.) 报告 ,汇报;   v. 报道
battery	"n. 电池( 组)   ;一组 ,许 多 ,众多"
basic	(adj.) 基础的 ,最简单的
reservation	"n.   (住处 、席位的)预订; (美国印第安部落的)居 ..."
appearance	"n. 外貌 ,外表;  出现 ,公开 露面"
operate	(v.) 运转;运营;操作
oven	(n.) 烤箱 ,炉 ,灶
pedestrian	(n.) 步行者 ,行人
coach	(n.) 教练;   vt. 训练 ,指导
tube	(n.) 管子 ,管道
presentation	(n.) 报告;演讲 ,演示;  陈述
bicycle	(n.) 自行车
stick	"v. 坚持;卡住;   n. 棍, 棒 ,手杖"
dislike	(v.) 不喜欢
power	"n. 力量;  电力;权力;   v. 驱动"
permit	(n.) 执照(读作/ˈp3r ˌmɪt/)
valuable	(adj.) 贵重的 ,有价值的
roll	"v. 滚动 ,转动;   n. 卷 ,卷 状物"
disk	(n.) 圆盘,  唱片
temple	(n.) 庙宇 ,神殿
defend	"v. 保卫,  防守;为 ... ...辩 护 ,为 ... ...辩解;捍卫,  ..."
district	(n.) 地区;  区域
confident	(adj.) 自信的
silent	(adj.) 沉默的 ,安静的
autumn	(n.) 秋天
break	"v. 打破 ,摔碎;破坏 ,违反 (规则 、承诺或协议);  ..."
quality	(n.) 质量;  品质
arrange	(v.) 安排
compete	(vi.) 竞争
quiz	"n. 小测验 ,测试;知识竞 赛;   v. 对 ... ...进行测验"
sharp	"adj. 敏锐的;  明显的; (增 长 、下跌等)急剧的;锋 ..."
useless	"adj. 无用的 ,无价值的 ,无 效的"
average	"n. 平均水平;平均数;   adj. 平均的;平庸的 ,普通的 ..."
level	(n.) 水平 ,标准 ,等级
architect	(n.) 建筑师
probably	(adv.) 或许 ,大概
lie	"v. 存在;位于;躺 ,平卧; 撒谎;   n. 谎话 ,谎言"
dry	"adj. 干的 ,干旱的;   v. 弄 干"
fortunately	(adv.) 幸运地 ,幸亏
disco	"n. 迪斯科舞,  以唱片伴奏的 小舞厅"
raw	(adj.) 未加工的;原始的
suitable	(adj.) 合适的 ,适宜的
whale	(n.) 鲸
perfect	(adj.) 完美的;   v. 完善
permission	(n.) 允许,  同意
empty	"adj. 空的;空洞的;   v. 倒 空;腾空"
brain	(n.) 脑
diving	(n.) 潜水
apartment	(n.) <美>公寓
fuel	(n.) 燃料;   v. 加强;激起
identification	(n.) 识别;身份证明
seriously	(adv.) 认真地
sign	"v. 签名;签字;   n. 标志; 迹象;标牌 ,指示牌"
machine	(n.) 机器 ,机械装置
last	"adj. 最近的 ,上一个的;最 后的 ,仅剩下的;   v. 持 ..."
extra	"adj. 额外的,  附加的; (adv.) 额外地"
storm	"n. 暴风雨 ,暴风雪;   v. 大 发雷霆"
entrance	"n. 入口 ,通道; (俱乐部、 社团 、大学等的)  准许加 ..."
stranger	(n.) 陌生人
article	(n.) 文章
improve	(v.) 改进,  改善;提高
purpose	(n.) 目的 ,意图
steal	(v.) 偷盗 ,窃取
altogether	(adv.) 总共 ,一共;完全
continent	(n.) 大陆 ,洲
opera	(n.) 歌剧
visa	(n.) 签证
harbour	(n.) 港湾 ,港口 ,安全处
towel	(n.) 毛巾 ,手巾
keep	"v. 保持;继续;记下 ,记 录 ,记载"
position	"n. 职位;位置;地位;姿 势;   v. 安置"
judge	(v.) 判断
advertise	(v.) 为 ... ...做广告
gallery	(n.) 美术馆 ,画廊
chess	(n.) 国际象棋
classmate	(n.) 同班同学
valley	(n.) 山谷 ,溪谷 ,低谷
solve	(v.) 解决
shark	(n.) 鲨鱼
low	"adj. 低的 ,矮的 ,少的;沮 丧的"
plan	(n.) 计划;   v. 计划 ,打算
intermediate	(adj.) 中间的
net	(n.) 球网;通信网
soon	(adv.) 快 ,早;立刻 ,不久
block	"v. 阻挡 ,妨碍,  阻塞;   n. 街区;  阻碍;块状物"
mile	(n.) 英里
away	"adv. 离开 ,远离;  ... ... 掉;   adj. 不在的"
rarely	(adv.) 很少 ,难得
concentrate	(v.) 全神贯注于
document	(n.) 文件 ,公文;   v. 记录
piano	(n.) 钢琴
partly	"adv. 部分地 ,在一定程度 上"
social	(adj.) 社会性的;社交的
biology	(n.) 生物学
necessary	"adj. 必需的 ,必要的;   n. 必需品"
reduce	(v.) 减少 ,减小,  降低
happen	(vi.) 发生;碰巧 ,偶遇
neighbourhood	(n.) 社区
lion	(n.) 狮子
hire	"v. 雇佣;租用;   n. 雇用; 租用 ,租借"
password	(n.) 密码,   口令
price	(n.) 价格 ,价钱;   v. 标价
dirt	(n.) 泥土
nearby	"adj. 附近的 ,邻近的; (adv.) 在附近"
photograph	"n. 照片;   vi. 照相 ,摄影; (vt.) 为 ... ...拍照"
talent	(n.) 天赋 ,才能;天才 ,人才
gain	"v. 获得;增加;赢得;   n. 好处"
dead	"adj. 死的 ,无生命的;停滞 的 ,不运行的;无生气的"
hang	(v.) 悬挂;逗留
electronic	(adj.) 电子的
passport	(n.) 护照
copy	"n. 副本 ,拷贝;  (一)本, (一)份; (报刊等的)  ..."
stream	"n. 小河 ,溪;流;一股 ,一 串"
disease	(n.) 疾病 ,病
continue	(v.) 继续
curious	(adj.) 好奇的
private	(adj.) 私人的
female	"adj. 雌性的;女性的;   n. 雌性动物"
fishing	(n.) 钓鱼
gold	"n. 黄金 ,金币;   adj. 金制 的;金色的"
accountant	(n.) 会计人员 ,会计师
expedition	(n.) 探险;远征
singer	(n.) 歌手
careful	"adj. 小心的;仔细的 ,细心 的"
agree	(v.) 同意
ship	(n.) (大)船 ,舰
complete	"v. 完成;   adj. 完整的;彻 底的"
review	"n. 评论;检查;综述;   v. 回顾"
kilogram	(n.) 千克;公斤
matter	(n.) 事情,  问题;   v. 要紧
invent	(vt.) 发明
powder	"n. 粉末;细面;火药;   v. 抹粉"
diet	(n.) 饮食
progress	(n.) 进步;   v. 进步
chemist	(n.) 化学家
explanation	(n.) 解释 ,说明
mail	(n.) 邮件 ,信件
amazing	"adj. 令人惊奇的 ,令人惊喜 的"
toy	(n.) 玩具
goat	(n.) 山羊
worry	"v. 担心 ,操心;   n. 烦恼, 焦虑 ,担忧"
castle	(n.) 城堡
finger	(n.) 手指
system	(n.) 系统
fill	(v.) 装满;   占满
idea	(n.) 想法 ,主意;思想 ,概念
atmosphere	(n.) 氛围 ,气氛;大气;空气
phrase	(n.) 短语 ,词组
king	(n.) 国王 ,君主
beginning	(n.) 开始 ,开端
elementary	(adj.) 小学的;基本的
cyclist	(n.) 骑自行车的人
peak	"adj. 峰值的;   v. 达到最高 点;   n. 尖端;  山峰,  峰 ..."
role	(n.) 作用;角色
add	(v.) 加 ,增加;补充
soldier	(n.) 士兵 ,军人
waterfall	(n.) 瀑布
trick	(n.) 诀窍;把戏;   v. 欺诈
celebration	(n.) 庆祝
whole	"adj. 全部的;整个的;   n. 全部;整体"
borrow	(vt.) 借 ,借入;借用
shade	"n. 色度;百叶窗;一点,  略 微"
scientific	(adj.) 科学的
international	(adj.) 国际的 ,世界的
trade	"n. 贸易 ,商业;职业;手 艺;行当;   v. 经商 ,交易"
chicken	(n.) 鸡肉;鸡
final	"adj. 最终的;最后的;   n. 决赛"
conclusion	(n.) 结论 ,推论;结束 ,结局
piece	"n. 块 ,碎块;片; (艺术 家 、音乐家或作家的)作 ..."
rat	(n.) 老鼠 ,耗子
introduce	"vt. 介绍;传入,  引进;采 用;   v. 使初次了解;使 ..."
performance	"n. 表现;表演 ,演出;业 绩 ,成绩;性能"
description	(n.) 描写 ,形容 ,叙述
tour	"n. 旅游;   v. 旅游;做巡回 演出"
medicine	(n.) 药;  医学
smart	(adj.) 智能的;聪明的
lamp	(n.) 灯,  台灯
push	(v.) 推动 ,促使;推;逼迫
negative	(adj.) 消极的 ,负面的
broad	"adj. 宽阔的;广泛的;  明显 的"
calculator	(n.) 计算器 ,计算者
exchange	(n.) 交换;交流;   v. 交换
hostel	"n. 旅社 ,招待所(尤指青年 旅社);  临时收容所"
thin	(adj.) 瘦的;薄的
delay	"n. 延误 ,延迟;   v. 延误, 延迟"
rose	(n.) 玫瑰 ,蔷薇
abroad	(adv.) 到国外 ,在国外
incorrect	(adj.) 错误的 ,不正确的
refund	(n.) 退款(读作/ˈriːfΛnd/)
reason	(n.) 原因
stamp	(n.) 邮票
blame	(vt.) 责怪;把 ... ... 归咎于
object	"n. 物体;对象;   v. 反对 (读作/əb ˈdʒekt/)"
create	"v. 创造;创作;造成,  引 起 ,产生"
follow	"vi. 接踵而至;   v. 遵循;跟 随;追求"
freeze	(v.) 冻结 ,结冰;呆住
material	"n. 材料 ,原料;   adj. 物质 的 ,客观存在的"
positive	(adj.) 积极的 ,乐观的
effort	(n.) 努力;力气 ,精力
novel	"n. 小说 ,长篇故事;   adj. 新奇的 ,新颖的"
career	(n.) 职业 ,事业;生涯 ,经历
membership	(n.) 会员资格 ,会员人数
drum	(n.) 鼓;  圆桶;   v. 击鼓
discuss	(v.) 讨论 ,商量
sort	"n. 种类 ,类别;   v. 把 ... ... 分类 ,整理 ,挑选"
channel	(n.) 渠道 ,方法
hill	(n.) 小山,  山岗;斜坡
painting	(n.) 画作 ,油画
poet	(n.) 诗人
fashion	(n.) 时髦 ,风尚;  时装
reporter	(n.) 记者
centre	(n.) 中心,  中枢;  中央
unemployed	(adj.) 失业的 ,未被雇用的
pattern	(n.) 模型 ,模式;  图案
iron	(n.) 铁
menu	(n.) 菜单
natural	(adj.) 自然的
action	(n.) 行动;行为;动作;作战
wool	(n.) (羊等动物的)毛
laboratory	(n.) ( =lab)  实验室
fall	"vi. 落下;下降 ,减弱;变 成 ,进入(某种状态);  ..."
gun	(n.) 枪 ,炮
upset	"adj. 苦恼的 ,沮丧的 ,心烦 的;   v. 使苦恼;   n. 心烦 ..."
case	(n.) 情况;案件
solution	(n.) 解决办法
mix	(v.) 混合;   n. 混合
pocket	(n.) 口袋 ,兜 ,衣袋
list	"n. 目录 ,表 ,名单;   v. 列 清单"
bold	"adj. 大胆自信的,  勇于冒险 的"
tower	(n.) 塔 ,楼塔
credit	(n.) 信用;学分
crowded	(adj.) 拥挤的
high	"adj. 高的; (标准 、质量 等)  高的 ,好的;   adv. 高"
knock	"v. 碰 ,撞;敲击;   n. 敲, 敲门"
explain	(v.) 解释
platform	(n.) 平台,  阵地
owe	"v. 欠(债 、情)   ;把 ... ... 归 于"
explore	(v.) 探索;探讨 ,研究
update	"n. 最新消息(读作/ˈΛp ˌdeɪt/);   vt. 更新"
celebrity	(n.) 名人 ,名流
land	"n. 陆地 ,土地;大地;   v. 成功得到 ,赢得 ,捞到( ..."
quit	"v. 辞职;停止;离开( 工作 职位 、学校等)"
strange	(adj.) 奇怪的;  陌生的
direction	"n. 方向 ,方位;趋势; (复 数)指令 ,说明"
arrive	(v.) 到达
heater	(n.) 加热器
let	(v.) 允许
tent	(n.) 帐篷
favour	(n.) 帮助 ,恩惠 ,好事
fair	"adj. 合理的 ,公平的;   n. 交易会 ,博览会"
search	(v.) 搜索;搜寻;   n. 搜寻
event	"n. 活动(指演出 、体育比 赛 、聚会等)   ;事件 ,大事"
ago	(adv.) 以前
float	(vi.) 浮动 ,漂流 ,漂浮
row	(n.) 排 ,行 ,列 ;争吵
arrangement	(n.) 安排;布置
field	"n. 领域;  田野,  田地;运动 场"
culture	(n.) 文化
boil	(v.) 用开水煮 ,在沸水中煮
political	(adj.) 政治的
disappointing	(adj.) 令人失望的
sky	(n.) 天空
canal	(n.) 运河 ,河流
Queen	(n.) 女王
hall	(n.) 大厅;会堂 ,礼堂
keyboard	(n.) 键盘
welcome	"v. 欢迎;   adj. 受欢迎的; (表示乐于让某人做某事 ..."
volume	(n.) 册 ,卷
childhood	(n.) 童年 ,幼年
project	"n. 项目 ,工程,  习作项目; (v.) 估计 ,预估(读作/prə ..."
injure	(v.) 伤害 ,使受伤
communicate	(v.) 沟通 ,交流
hockey	(n.) 曲棍球
detail	"n. 细节;详情;   v. 详细说 明"
history	(n.) 历史 ,历史学
union	(n.) 工会
patient	"n. 病人 ,患者;   adj. 有耐 心的"
pull	(v.) 拉 ,拖 ,扯 ,拔;  吸引
parking	(n.) 停车;停车位
headache	(n.) 头痛;麻烦
display	"v. 显示;  陈列;展示;   n. 展览"
knee	(n.) 膝盖
story	(n.) 故事 ,小说
separate	"v. 使分开;   adj. 分开的; 单独的(读作/ˈseprət/)"
fan	(n.) 风扇 ,扇子
magazine	(n.) 杂志 ,期刊
sight	"n. 看见;景观 ,名胜;景 象 ,情景;视野"
translation	(n.) 翻译
bike	(n.) 自行车
perform	(v.) 运行;表演;表现;执行
lead	"v. 导致 ,使得;带领;领 先;   n. 领先地位"
professor	(n.) 教授
feed	"v. 给(人或动物)食物, 喂 ,饲养"
individual	(adj.) 个人的;   n. 个人
difference	(n.) 差异 ,不同(之处)
ant	(n.) 蚂蚁
thousand	(num.) 一千 ,一千个
entertainment	(n.) 娱乐
destroy	(v.) 破坏;摧毁
reception	(n.) 前台 ,接待处
unit	(n.) 部门 ,单位
joke	(n.) 笑话
musical	(adj.) 音乐的;   n. 音乐剧
fourth	"num. 第四的 ,第四个的, 四分之一的"
monkey	(n.) 猴子
proper	(adj.) 适合的 ,适用的
pool	"n. 泳池 ,水塘;池;   v. 集 中资源(或材料)"
boss	(n.) 老板 ,上司
obvious	(adj.) 明显的 ,显而易见的
experience	"n.   (一次)经历 ,感受 ,体 验;经验 ,实践;   v. 经 ..."
imagine	(v.) 想象 ,幻想
amount	(n.) 数量;   v. 总计
design	(n.) 设计;   v. 设计
gift	(n.) 礼物 ,赠品
audience	(n.) 观众,  听众
hero	(n.) 英雄;男主角
warn	(v.) 警告 ,告诫
offer	"v. 提供;表示愿意 (做某 事);   n. 录取(或录用)  ..."
handle	"v. 处理 ,解决;操纵(车 辆 、动物 、工具等);   n. ..."
succeed	(v.) 成功
previous	(adj.) 先前的
publish	(v.) 发表;  出版;公布
training	(n.) 训练 ,锻炼;培训
passenger	(n.) 乘客 ,旅客
discover	(v.) 发现
complicated	(adj.) 复杂的
uncomfortable	(adj.) 不舒服的
mark	"v. 标记出;标志 ,纪念; (n.) ( 重要的)水平 ,标准 ..."
demand	(n.) 需求;   v. 要求
