un	一,一个adj.
jusqu'à	直到prep.(与介词连用,表示时间或空间的限度)
jusqu'aujourd'hui	直到今天
là	那里adv.
ligne	线路nf.
une ligne de métro	一条地铁线路
la ligne quatre de métro	地铁4号线
la ligne 4 de métro	地铁4号线
loin	远adv.
C'est très loin	那很远
Le bureau est loin de chez moi	办公室离我家很远
le métro	地铁nm.
le métropolitain	地铁nm.
l'entrée du métro de Paris	巴黎地铁入口
la moto	摩托车n.f.
musée	博物馆nm.
Le Musée du Louvre	卢浮宫博物馆
Le Musée d'Orsay	奥赛博物馆
opéra	歌剧院nm.
par	通过prep.
Par ici	从这边走
C'est par où	从哪儿走?
Je vous demande pardon	我向您道歉n.m.
passer	经过v.
passer par une banque	经过银行
pied	脚nm.
aller à pied	步行
la place	广场n.f.
poste	邮局nf.
la poste	邮局nf.
le bureau de poste	邮局
prendre le métro	搭乘地铁
prendre le bus	搭乘公共汽车
prendre la rue	走这条路
rollers	滑轮鞋n.m.pl.
tout	(adv.) 十分,非常,极其,完全=tres
C'est tout rouge	完全红了
travail	工作nm.
J'aime mon travail	我喜欢我的工作
traverser	穿过v.穿越
traverser la rue	穿过这条路
vélo	自行车nm.
aller au musée à vélo	骑自行车去博物馆(à vélo=骑自行车)
en bus	乘公共汽车
en métro	乘地铁
en moto	骑摩托车
en voiture	开车
voiture	汽车nf.
Un vélib	公共自行车
un vélo libre	公共自行车
entrer	进入(原形); 进入vi.
C'est par là	从那里走; 从那边走
prendre	拿(原形); 搭乘,选取(道路,路线)vt.
aller tout droit	一直走; 一直走
Pardon,monsieur	对不起,先生
Le musée du Louvre,c'est par où	卢浮宫在哪里?(par=by)
Oh là là	哦,天哪!
Vous êtes loir	你离得很远
Prenez le métro	您乘地铁吧(命令式)
Je n'aime pas le métro	我不喜欢地铁
Alors,allez-y en bus ou à vélo	那么,您可以乘公共汽车或骑自行车去
Il y a des Vélib',au coin de la rue	街角有自行车租赁点
Non,non,j'y vais à pied	不,不,我走路去
Alors,passez par là	那么,从那边走
le boulevard	大道
Traversez le boulevard Haussmann et prenez la rue Scribe en face de vous	横穿奥斯曼大道,然后走对面的斯克里布街
Tournez à gauche dans la rue Auber	在奥贝尔街左转
devant l'Opéra	在歌剧院前
place de l'Opéra	歌剧院广场
Passez devant la poste et la banque et vous arrivez place de l'Opéra	经过邮局和银行,您就到了歌剧院广场
jusqu'au bout	一直走到尽头
Ensuite,prenez la grande avenue en face et continuez tout droit,jusqu'au bout	然后,走对面的大街,一直走到尽头
Et après	然后呢?
la cour	院子n.f.
Traversez la rue de Rivoli et entrez dans la cour du Louvre	横穿里沃利街,进入卢浮宫的院子
le jardin des Tuileries	杜伊勒里花园
À droite,vous avez le jardin des Tuileries et à gauche le Louvre	右边是杜伊勒里花园,左边是卢浮宫
L'entrée du musée est sous la Pyramide	博物馆的入口在金字塔下
Les Vélib',c'est où	自行车租赁点在哪里?
sous	在...下面=under
voilà	那是prep;看,在这里
mille	一千
l'année deux mille vingt-cinq	"2025年"
air conditionné	空调(air  空气n.m.+conditionné  可调节的)
le bar	(这个酒吧)  酒吧n.m.
Bon voyage	旅途愉快(bon  好adj.阳性+voyage  旅行n.m.)
Bon week-end	周末愉快(bon  好adj.阳性+week-end  周末n.m.)
Bonne journée	祝你一天愉快(bonne  好adj.阴性+journée  白天n.f.)
Bonne semaine	祝你一周愉快(bonne  好adj.阴性+semaine  周n.f.)
Bonne année	新年快乐(bonne  好adj.阴性+année  年n.f.)
Bonne route	一路平安(bonne  好adj.阴性+route  路n.f.)(route=road)
bord	边n.m.边缘;岸边
mer	大海n.f.
au bord de la mer	在海边(mer  大海n.f.)
au bord de la plage	在海滩边(plage  海滩n.f.)
la carte de la France	法国地图
un circuit	一条旅游线路(circuit  环形n.m.)
conceil	建议n.m.;劝告n.m.
la différence	差别n.f.;不同n.f.
hélicoptère	直升飞机n.m.
île	岛n.f.
jour	日子,天n.m.
juste	正好adv.;恰巧
parfait	完美的adj.(阳性)
parfaite	完美的adj.阴性
partir	离开v.出发
Je pars	我出发了。
Tu pars	你出发了。
Il part	他出发了。
Elle part	她出发了。
Nous partons	我们出发了。
Vous partez	你们出发了。
Ils partent	他们出发了。
piscine	游泳池n.f.
On va à la piscine	我们去游泳池。
plage	海滩n.f.
On va à la plage	我们去海滩。
puis	然后adv.=ensuite
réception	接待处n.f.
le restaurant	这个餐馆n.m.(俗语中简称resto)
resto	餐馆n.m.=restaurant
télévision	电视n.f.=une télé
terrasse	阳台n.f.露台;晒台
ville	城市n.f.(特殊发音/il/;复数villes)
la ville de Paris	巴黎市
visiter	参观v.t.;访问v.游览
visiter la ville de Paris	参观巴黎市
visiter le musée du Louvre	参观卢浮宫
voyage	旅行n.m.旅程;旅途
agence de voyage	旅行社
week-end	周末n.m.
bien sûr	当然; 当然adv.loc.(bien  好adv.+sûr  确定的adj.)=of Course
ensuite	然后adv.接下来; 然后adv.=puis
Le premier jour,vous partez de Paris et vous arrivez à l'aéroport de Fort-de-France	第一天,你从巴黎出发,到达法兰西堡机场。
est	东
l'est de la ville	(城市的东部)
sud	南
le sud de la France	(法国的南部)
ouest	西
l'ouest de l'Europe	(欧洲的西部)
nord	北
le nord de l'Amérique	(美洲的北部)
Là,vous prenez un bus jusqu'à votre hôtel, La Marina, à l'ouest de l'île	在那儿,您乘坐一辆公交车前往您位于岛屿西侧的酒店 —— 拉马里纳酒店。
la mer	大海
On est au bord de la mer	我们在海边吗?
Oui,c'est un hôtel à côté de la plage	是的,这是一家靠近海滩的酒店。
une terrasse	露台
Votre chambre a une terrasse en face de la mer	你的房间有一个面朝大海的露台。
Et il y a une salle de bains dans la chambre	房间里有一个浴室?
Oui,bien sûr,monsieur	是的,当然,先生。
Une salle de bains,le téléphone,la télévision et l'air conditionné	一个浴室,电话,电视和空调。
une piscine	游泳池
Et, dan l'hôtel,vous avez deux bars, deux restaurants, des boutiques et une piscine	在酒店里,您有两个酒吧,两个餐厅,商店和一个游泳池。
Et on visite l'île aussi	我们也参观一下这个岛吧?
Oui,en hélicoptère	是的,乘直升机。
Vous allez aussi en bus à Fort-de-France et à Sainte-Luce au sud, à la montagne Pelée et à Saint-Pierre au nord	您也将乘坐公交车前往位于南部的法兰西堡和圣吕斯,以及位于北部的佩雷山和圣皮埃尔。
Visitez le musée Gauguin, à côté de votre hôtel	参观您酒店旁边的高更博物馆。
C'est très sympa	这太棒了!
au bord de	在......边上; 在......边缘
à côté de	在...的旁边=nextto; 在......旁边
C'est parfait	这太完美了。; 太完美了!
aéroport	飞机场(n.m.)
aquarium	水族馆(n.m.)
archéologie	考古学(n.f.)
l'art	艺术(n.m.)
avion	飞机(n.m.)
autour de	在...周围(介词短语)
bateau	船(n.m.)
billet	票(n.m.)
bise	吻(n.f.)
le centre	中心(n.m.)
château	城堡(n.m.)
contemporain	当代的(adj.)
contemporaine	当代的(adj.)(f.)
la destination	目的地(n.f.)
gratuit	免费的(adj.)
gratuite	免费的(adj.)(f.)
hôtel de ville	市政厅;市政府大楼(n.m.)
institut	学院(n.m.)机构
intéressant	有趣的(adj.);有意义的(adj.)
intéressante	有趣的(adj.);有意义的(adj.)(f.)
kilomètre	公里(n.m.)千米
Marseille	马赛(n.f.)
méditerranéen	地中海的(adj.)
méditerranéenne	地中海的(adj.)(f.)
un office	事务所,营业所(n.m.)
palais	宫殿(n.m.),皇宫;高大华丽的建筑物
un port	港口(n.m.)
postal	邮政的(adj.)
postale	邮政的(adj.)(f.)
carte postale	明信片(n.f.)
la prison	监狱(n.f.)
quai	站台;堤岸(n.m.)
sur le quai	在堤岸上(介词短语)
SNCF	法国国家铁路公司(全称:Société Nationale des Chemins de Fer Français)
