elle	她
billet	票,入场券,门票,(车、船)票
s'il vous plait	请给我;请问。
billet d'avion	机票
tu prends la voiture	你乘坐汽车吗?
un restaurant	一家饭馆
montréal	蒙特利尔(加拿大主要港市)
le restaurant espagnol	那家西班牙饭馆
berlin	柏林
c'est une gare francaise	这是一座法国火车站
chanson	歌曲
tu vas à l'aéroport	你去这个机场
marie va à l'aéroport en voiture	"Marie乘汽车去那个机场"
il va à la gare	他去那座火车站
je vais à paris en train	我乘火车去巴黎
Je prends la voiture	我乘坐汽车
je vais à paris en voiture	我乘汽车去巴黎
je prends l'avion	我乘坐飞机
c'est une valise	这是一个手提箱
tu prends le taxi	你乘坐出租车吗?
où est le restaurant	这家饭馆在哪里?
où est paul	"Paul在哪里"
tu as un billet d'avion	你有机票吗?
Duo a un passeport	朵儿有一本护照。
un croissant s'il vous plaît	请给我一个牛角面包
elle a un billet d'avion	她有一张机票
une gare	一座火车站(相当于英语中的“railwaystation”“trainstation”或“busstation”。)
C'est l'aéroport	这是机场
je vais à paris	我去巴黎
j'ai une voiture	我有一辆汽车
un train	一列火车
la gare	那座火车站
le croissant français	那个法国牛角面包
paul habite avec son père	"Paul和他父亲一起住"
frère	兄弟
sœur	姐妹
père	父亲
mère	母亲
mari	丈夫
femme	妻子
son père	他的,她的父亲(加阳性名词)
sa sœur	他的,她的姐妹(加阴性名词,根据所修饰的名词的阴阳性来变化,因为“sœur”是阴性,所以用“sa”来修饰)
ma famille habite en france	我一家人住在法国
parle	说话
C'est ma famille	这是我一家人
famille	“家庭;家属;家族”的意思,阴性名词;一家人
ma mère et sa sœur	我母亲和她的姐妹
université	大学
professeur	老师;中学教师;大学教授;教员,教练n.m.
la famille	一家人
ma femme est journaliste	我妻子是记者
la fille de paul	"Paul的女儿"
le fils de paul	"Paul的儿子"
je veux	(我想要)
tu veux	(你想要)
il veut	(他想要)
elle veut	(她想要)
on veut	(它想要)
nous voulons	(我们想要)
vous voulez	(您/你们想要)
ils veulent	(他们想要)
elles veulent	(她们想要)
boutique	商店
j'étudie à bordeaux	我在波尔多学习
étudiant	男大学生
étudiante	女大学生
l'avion	这个/那个飞机(阳性)
l'orange	那个橙子(阴性)
le chat de marie	"Marie的猫"
le chien d'anna	"Anna的狗"(注意,de在元音前要变成d')
la musique	音乐
lire un livre	阅读一本书
je prends	(我乘坐/拿)Theverbprendrehasansendingforboththejeandtuforms.
tu prends	(你乘坐/拿)Theverbprendrehasansendingforboththejeandtuforms.
il prend	(他乘坐/拿)
elle prend	(她乘坐/拿)
nous prenons	(我们乘坐/拿)
vous prenez	(您/你们乘坐/拿)
ils prennent	(他们乘坐/拿)
elles prennent	(她们乘坐/拿)。
tu vas au restaurant	你去饭馆
elle va au zoo	她去动物园
je mange	我吃;(我吃)
tu manges	你吃(s不发音);(你吃)
il mange	他吃;(他吃)
elle mange	她吃;(她吃)
nous mangeons	(我们吃)
vous mangez	(您/你们吃)
ils mangent	(他们吃)
elles mangent	(她们吃)。
des chiens	这些狗
les étudiants étudient	那些大学生学习
ils travaillent en france	他们在法国工作
je suis	我是
tu es	你是
elle est	她是
nous sommes	(我们是)
vous êtes	(您/你们是)
ils sont	(他们是)
elles sont	(她们是)。
j'aime la musique	我喜欢音乐
nous voulons lire un livre	我们想要阅读一本书
je vais à l'école en voiture	我乘汽车去学校
nous allons à la boulangerie	我们去面包店
je prends le bus	我乘坐公共汽车
je vais au parc	我去公园(当à和le一起出现,要合并成au)
elle est amusante	她很有趣
nous sommes chinois	我们是中国人
il a trois chats	他有三只猫(复数)
les garcons sont étudiants	那些男孩是大学生
ils mangent deux pizzas	他们吃两个披萨
les filles sont en espagne	这些女孩在西班牙
les	这些(le,la,l'的复数)
Camille	人名(很獨立,工作能力很強,有企圖心)
mes frères aiment le chocolat	我的兄弟们喜欢巧克力
tes parents sont ici	你的父母在这里
ce sont tes filles	这是你的女儿们吗?
c'est son bébé	这是他的宝宝
ses parents sont amusants	她的父母很有趣
la femme est contente	这个女人很高兴
les femmes sont contentes	那些女人很高兴(如果谈论的是复数名词,形容词词尾也要加上-s)
jus	果汁
voudrais	(jeveux我想要:是直陈式,相当于“Iwant”)“jevoudrais”类似于“Iwouldlike”(更加委婉)
toilettes	卫生间
restaurants	饭馆
personne	人;任何人;没有人
amusantes	有趣的
amusants	有趣的
intelligentes	聪明的;有智慧
intelligente	聪明的
contents	高兴的
francaises	法国人;法国的
anglaises	英国人;英国的
mexicaines	墨西哥的;墨西哥人
mexicains	墨西哥的;墨西哥人
américaines	美国人;美国的
amusant	有趣的
amusante	有趣的;有意思;有意思的
contente	高兴的;满意;很高兴
ses	“他的/她的/它的(复数)”
ses livres sont intéressants	他/她/它的书很有趣。
ce sont	他们是;她们是
aiment	喜欢(第三人称复数形式)
elles aiment la musique	(她们喜欢音乐。)
tes	你的(复数)
tes livres	你的书
mes	我的(复数)
mes livres sont intéressants	(我的书很有趣。)
frères	兄弟们
voitures	汽车
chiens	“狗”的复数形式
journalistes	记者
ont	(有)的第三人称复数形式
ils ont des livres	(他们有一些书。“des”在法语中是不定冠词,用于复数名词前,表示“一些”。)
étudiants	大学生们
étudiantes	大学生们
étudie	学习(直陈式现在时第三人称单数)
habitent	(居住)的第三人称复数形式
ils habitent à Paris	(他们住在巴黎。)
professeurs	老师们
hommes	“男人”“男子”的复数形式
travaillent	(工作)的第三人称复数形式
mangent	(吃)的第三人称复数形式
ils mangent des fruits	(他们吃水果。)
trois	三;三只
aimes	喜欢;爱的第二人称单数形式
métro	地铁
banque	银行
école	学校
habitons	(居住)的第一人称复数形式
voulons	想要(第一人称复数形式)
jardin	花园
appartement	公寓
maison	房子
chouette	猫头鹰
animal de compagnie	宠物
pour moi	给我的;为了我;对于我
ce livre est pour moi	(这本书是给我的。)
une table	一张桌子
une personne	一个人
les toilettes pour femmes	女卫生间,“les”是定冠词,修饰复数名词“toilettes”(卫生间);“pourfemmes”意思是“为女性”
une table pour deux personnes	一张双人桌(“pour”是介词,有“为了”“对于”“适合”等多种意思)
où sont les toilettes	卫生间在哪里
c'est pour moi	这是给我的吗?
les toilettes pour hommes	男卫生间
j'aime les restaurants francais	我喜欢法国饭馆
la serveuse est américaine	服务员是美国人
je voudrais un thé	我想要一杯茶
deux cafés	两杯咖啡
un jus d'orange	一杯橙汁
le serveur parle anglais	服务员说英语
tu veux un thé	你想要茶吗?
la serveuse est francaise	服务员是法国人
une chanson chinoise	一首中国歌曲
oui elle est coréenne	是的,她是韩国人
merci beaucoup	非常感谢
la valise	那个手提箱(是阴性名词)
où est la gare	火车站在哪里?
le billet d'avion	机票(“le”是定冠词,用于修饰阳性名词,“d'”是“de”的缩写形式,表示所属关系)
où est le taxi	那辆出租车在哪里?
et toi	你呢?
bonsoir	晚上好
tu vas à l'hotel	你去这家旅馆hôtel
le train	那列火车
bonne journée	祝你一天愉快
salut à demain	再见,明天见!
trois personnes	三个人
pour toi	给你的
le serveur parle francais	服务员说法语
le jus d'orange	橙汁(“jus”是阳性名词,意为“果汁”。)
tu aimes les restaurants francais	你喜欢法国饭馆吗?(“aimes”(喜欢)的第二人称单数变位,“français”形容词,“法国的”)
l'addition s'il vous plait	请给我账单
tu prends un thé	你想要茶吗?(吃、喝、乘坐)
petits	小,小的
petit	小;小的;矮
grands	大;高;大型的
magasin	商店;商店;店
salade	沙拉
bouteille	瓶子;瓶子;瓶
eau	水
verre	杯子;玻璃杯
vin	葡萄酒
bière	啤酒
tasse	杯子
ville	城市
vélo	自行车
plante	植物
vert	绿色;绿色的
ouvert	营业;开着;开
pharmacie	药店
supermarché	超市
petites	小;小的
petite	小;小的;矮
grandes	大;高;大的
aujourd'hui	今天
fermé	关着
cinq	五
quatre	四;四个
un homme mange un chocolat	一个男人吃一块巧克力
le mari de julia	"Julia的丈夫"
le frère de louis	"Louis的兄弟"
tu es un cheval	你是一匹马吗?
un bon café	一杯好咖啡
je suis dans le jardin	我在花园里
mon père et ma mère	我的父亲和我的母亲
le chat est dans la voiture	猫在汽车里
dans la voiture	在汽车里
ma famille habite dans une maison	我一家人住在一幢房子里
mon mari veut une voiture	我的丈夫想要一辆汽车
où habite ta grandmère	你祖母住在哪里?
ma maison	我的房子
elle est japonaise	她是日本人
en angleterre	在英国
les magasins sont grands	商店很大
le magasin	商店
la voiture est grande	汽车很大
les tables sont petites	桌子很小(复数)
les écoles sont petites	学校很小(复数)
la banque est petite	银行很小
la banque est grande	银行很大
la maison est grande	房子很大
les universités américaines	美国大学(复数)
les vélos	自行车(复数)
la station de métro	地铁站
où est l'hôpital	医院在哪里?
le restaurant est ouvert	饭馆营业中
duo est vert	朵儿是绿色的
une école verte	一个绿色的学校
j'ai un vélo	我有一辆自行车
la pharmacie	药店
une plante	一株植物
une ville française	一个法国城市
le supermarché est ouvert	超市营业中
j'aime les plantes	我喜欢植物
visitons	去玩;参观(第一人称复数命令式形式)意思是“让我们参观”。
voyages	“旅行”(复数形式)例如:J'aimelesvoyages.(我喜欢旅行。)
vacances	假期;度假
vont	(去)的第三人称复数形式。例如:Ilsvontàl'école.(他们去学校。)
voyage	旅行
visite	去玩;“参观;访问;(动词/名词)
pays	“国家;乡村”
voyageons	旅行、航行(第一人称复数的现在时变位形式)例如“nousvoyageons”(我们旅行)
voyagent	旅行(第三人称复数的现在时变位形式)
plage	沙滩
visites	去玩(第二人称单数的现在时变位形式)
musée	博物馆
veulent	“想要”“愿意”“希望”(第三人称复数形式)“theywant”(他们想要)
château	城堡(阳性名词)
église	教堂(阴性名词)
aux-	是“à”+“les”的缩合形式。例如:Jevaisauxéglises.(我去那些教堂。)
le mexique est un pays	墨西哥是一个国家
je visite le japon	我去日本玩
j'aime le mexique	我喜欢墨西哥
le japon est un pays	日本是一个国家
le brésil est ton pays	巴西是你的国家
je visite l'angleterre	我去英国玩
le mexique est mon pays	墨西哥是我的国家
c'est un pays	这是一个国家
je voyage beaucoup	我常常旅行
j'aime les vacances	我喜欢假期
je voyage avec mon frère	我和我的兄弟一起旅行
nous visitons le mexique	我们去墨西哥玩
tu voyages avec ton père	你和你的父亲一起旅行吗?
ils aiment les vacances	他们喜欢假期
nous visitons le brésil	我们去巴西玩
nous visitons berlin	我们去柏林玩
appeler	名叫
bienvenue	欢迎n.f.
bonjour	您好,早上好n.m
ce	这pron.dém;这,这个
un club	俱乐部,会,社n.m
être	是v.i
italienne	意大利的;n.意大利人;n.m.意大利语(阴性);(adj.)意大利的,意大利语的(阴性)
la baule	拉波尔(法国西部海滨城市)
madames	夫人们n.f
maman	妈妈(儿语,对母亲的爱称)n.f
non	不adv
voici	这是,这儿是,这就是prep
bonjour monsieur	先生,您好。
vous vous appelez	您的姓名。。?
et voici ma femme alice	还有这是我的妻子Alice
bonjour madame	您好,女士
vous êtes madame falco	您是法尔科夫人吗?
il s'appelle aldo	他的名字叫奥尔多
qui est-ce	你是谁?
il est italien	他是意大利人
oui et elle c'est nicole	是的,她是妮可
tu t'appelles giacomo	你的名字是贾科莫
tu es italien	你是意大利人
ju suis italien	我是意大利人
une chaise	一把椅子
à	在;向,到;给......prép.
ah	啊!唉!interj.
médecin assistant	助理医生
assistante	助理,助手,副手n.
chinois	中国的adj.;中国人n.(首字母大写)
chinoise	中国的adj.中国人n.(首字母大写)
directrice	经理n.阴性形式;导演,校长(阴性)
en	在......(指地点)prép.
espagnole	西班牙的adj.;西班牙人(首字母大写)n.
français	法语n.m.
en France	在法国n.f
genève	日内瓦(瑞士)(首字母大写)
japon	日本n.m.Japon
japonais	日本的adj.日本人Japonais(n.);(adj.)日本的;日语的
japonaise	日本的adj.日本人Japonaise(n.);(adj.)日本的;日语的(阴性)
rendez-vous	约会,预约n.m.
sur rendez-vous	(医生接待)预约就诊(的病人)
secrétaire	秘书n.[s(ə)kretεr]
s'il vous plaît	请,请您,请问loc.
Suisse	瑞士Suisse(n.f)=英语:Switzerland
sympa	(俗)给人好感的,讨人喜欢的adj.inv.
téléphone	电话;电话机n.m;电话
le cours	课程
l'étudiante	女学生
l'héroïne	女英雄;女主人公
C'est une belle voiture	这是一辆漂亮的车
La voiture est à M.Dupont	这是杜邦先生的。(表示前面已经提到过的人或事物,用定冠词la)
Vous n'avez pas de cours ce matin	你们今天上午没课吗?
Non Le professeur est malade	没有。老师病了。(表示谈话双方皆知的人或事物,用定冠词le)
Anne est la petite sœur de Paul	安娜是保罗的小妹妹。(用在受其他成分限定的名词前)
J'aime beaucoup le café	我很喜欢咖啡。(表示人或事物的总体概念)
La Terre est ronde	地球是圆的。(表示独一无二的事物。)
danseur	舞蹈家(阳性)
danseuse	舞蹈家(阴性)[dɑ̃søz]
juif	犹太的,犹太人的(阳性)
juive	犹太的,犹太人的(阴性)
informaticien	计算机编程员,信息论专家(阳性)[ɛ̃fɔrmatisjɛ̃,-εn]
informaticienne	计算机编程员,信息论专家(阴性)[ɛ̃fɔrmatisjɛ̃,-εn]
six enfants	六个孩子[sis]
seize personnes	十六个人[sɛz]
dix-sept	十七[dissɛt]
dix-huit	十八[dizɥit]
dix-neuf	十九[diznœf]
vingt	二十[vɛ̃t]
américain	美国的;美国人的
américaine	美国的;美国人的(阴性)
familier	(adj.)家庭的;亲近的,亲密的,亲热的;熟悉的;习以为常的,习惯的;通晓的
familière	(adj.)家庭的;(阴性)
neuve	(adj.)新的(阴性)
heureux	(adj.)幸福的,美满的;快乐的;高兴的
heureuse	(adj.)幸福的,美满的;快乐的;高兴的(阴性)
le Japon	日本(介词+国别名词)阳性
le Canada	加拿大
l'Iran	伊朗
la France	法国(介词+国别名词)阴性
la Chine	中国
l'Italie	意大利(英语中是“Italy”)
les États-Unis	美国
J'habite en France.	我住在法国。n+阴性单数国名(省略冠词)
J'habite en Italie.	我住在意大利。n+阴性单数国名(省略冠词)
Elle habite en Iran	她住在伊朗。en+以元音开头的阳性单数国名(省略冠词)
J'habite au Japon	我住在日本。au+以辅音开头的阳性单数国名(au=à+le)
J'habite au Canada	我住在加拿大。
J'habite aux États-Unis	我住在美国。
J'habite aux Philippines	我住在菲律宾。
le Caire	(开罗)个别城市名有阴阳性之分
Il habite au Caire	(他住在开罗。au=à+le)遇到介词à时,介词要与定冠词缩合
Vous êtes photographe	您是摄影师吗?
Vous êtes française	你是法国人吗?
Vous habitez en France	您居住在法国?
Vous êtes dans le cours d'italien	您正在学习意大利语课程
mon école	我的学校(以元音字母或哑音h开头的阴性名词前,使用阳性定冠词“mon”“ton”“son”)
ton amie	你的朋友(以元音字母或哑音h开头的阴性名词前,使用阳性定冠词“mon”“ton”“son”)
son histoire	它的历史(以元音字母或哑音h开头的阴性名词前,使用阳性定冠词“mon”“ton”“son”)
adresse	地址,住址n.f.
Quelle est ton adresse	你的地址是什么?
Quelle est votre adresse	您的地址是什么?
âge	年龄,年纪n.m.
je vais	我去
tu vas	你去
il va	他去
elle va	她去
nous allons	(我们去)
vous allez	(您/你们去)
ils vont	(他们去)
elles vont	(她们去)
alors	那么,在这种情况下adv.=Then
C'est mon ami	他是我的朋友
Ju suis avec mon ami	我和我的朋友在一起
avoir	有v.t.
j'ai	我有(当动词以原音开头,je要改成j')
tu as	你有
il a	他有
elle a	她有
nous avons	(我们有)
vous avez	(你们有;您有,用于第二人称复数或敬称单数)
ils ont	(他们有)
elles ont	(她们有)
tu as son adresse	你有他的地址?
Je suis au Canada	我在加拿大n.m.
fille	女孩,姑娘;女儿n.f.
C'est ma fille	这是我的女儿
C'est mon fils	这是我的儿子
C'est une fille	这是一个女孩
Hôtel	宾馆n.m.
journée	一天;白天,白昼n.f.
Merci à vous	谢谢您
Montréal	蒙特利尔(加拿大一座充满魅力的城市)
Notre-Dame	圣母院n.f.inv(没有性数变化)
Notre-Dame de Paris	巴黎圣母院
Notre-Dame de Marseille	马赛圣母院
Nuit	夜n.f.
Bonne nuit	晚安
Bonne route	祝您旅途愉快
Bonne semaine	祝你一周愉快[s(ə)mεn]
Bon week-end	周末愉快
Bon voyage	旅行愉快
Numéro	号码n.m.
Le Numéro de téléphone	电话号码
Les Champs-Élysées	香榭丽舍大街
La Tour Eiffel	埃菲尔铁塔
Le Louvre	卢浮宫
Il parle espagnol	他会说西班牙语
Je parle français	我会说法语
Elle parle chinois	她会说中文
Vous parlez quelle langue	您讲哪种语言
Quel est votre nom	您姓什么?
Quelle est votre profession	您的职业是什么?
Quelle est son adresse	他的地址是什幺?
soixante	六十
soixante et un	六十一
soixante et une	六十一(阴性)
soixante-quatre	六十四
soixante-huit	六十八
soixante-dix	七十
soixante-onze	七十一
soixante-dix-sept	七十七
soixante-dix-huit	七十八
soixante-dix-neuf	七十九
j'ai un secrétaire	我有一个秘书
Vous avez un rendez-vous	您有预约吗?
il a une carte de visite	他有一张名片
quatre-vingts	八十
quatre-vingts-un	八十一
quatre-vingts-dix	九十
quatre-vingts-onze	九十一
quatre-vingts-dix-neuf	九十九
cent-un	一百零一
toi	你pron.pers
Comment tu vas	你好吗?
Comment allez-vous	您还好吗?
Salut Céline	你好Céline
tu vas bien	你好吗?
Et toi	你呢?Andyou?
J'habite à Montréal maintenant avec ma femme	我现在和我的妻子住在Montréal
Au Canada	在加拿大吗?
Et quelle est ton adresse	那么你的地址是什么?
Mon adresse	我的地址吗?
rue Notre-Dame	巴黎圣母院街
Et tu as une adresse e-mail	你有一个email地址吗?
arobase	电子邮件地址符号“@”
hotmail point com	点;圆点;句点,标点;分数;学分[pwɛ̃]n.m.
Comment va ton ami espagnol	你的西班牙朋友怎么样了?
Il est à Paris avec son fils	他在巴黎和他的儿子一起。
Il parle français maintenant	他现在会说法语
Quel professeur tu préfères	你更喜欢哪个老师?
Quelle voiture tu cherches	你想买什么车?
Une Renault	雷诺车
aimer	爱,热爱v.t.
aussi	也adv.
moi aussi	我也是。=metoo.
Belgique	比利时n.f.
bientôt	不久,马上adv.
à bientôt	一会儿见,回头见loc.adv.
boulangerie	面包房;面包店
boulangerère	面包师傅n.f.
boulanger	面包师傅(阳性);面包师傅n.m.
Bruxelles	布鲁塞尔(比利时的首都)
Cayenne	卡宴(圭亚那的首府卡宴)
chercher	找,寻找,寻觅
Je cherche du travail	我正在找工作
classique	古典的adj.
la musique classique	古典乐
cinéma	电影院;电影,电影艺术;电影院
correspondante	通信者,有信件往来者(去e变成阳性)
Dakar	达喀尔(塞内加尔的首都)
espagnol	西班牙的;西班牙语;西班牙人n.m.
guyanais	圭亚那的;圭亚那人
Lausanne	洛桑[瑞士]
littérature	文学n.f.
moi	给我;我=me
monde	世界n.m.
musique	音乐
la nature	自然n.f.
québécoise	加拿大魁北克的adj.(去e变阳性)
Sénégal	塞内加尔n.m.(位于西非,以其丰富的文化、音乐和多样的自然景观而闻名。)
Sénégalaise	塞内加尔人
Sénégalais	塞内加尔人(阳性)
serveuse	服务员n.f.
serveur	服务员n.m.
souvent	经常,常常adv.;经常
un sport	一项体育运动,体育项目n.m.
un peu	一点儿,一下,少许,稍微loc.adv.(副词短语)
volley-ball	排球,排球运动n.m.
J'ai vingt-neuf ans	我29岁了
J'habite à Dakar au Sénégal	我住在塞内加尔的达喀尔
Je vais souvent au cinéma	我经常去电影院(aller的变位)
Je cherche un correnspondant en France ou au Canada	我正在寻找法国或加拿大的笔友
Mon e-mail	我的email
Je suis québécoise	我是魁北克人
J'ai dix-huit ans	我今年18岁
J'habite à Montréal	我住在蒙特利尔
J'aime le sport	我喜欢运动
le volley-ball et le golf	排球和高尔夫
je cherche une amie en Europe	我正在寻找一个欧洲的女性朋友
J'ai trente et un ans	我31岁了
Je suis guyanaise	我是圭亚那人
J'habite à Cayenne	我住在卡宴
Je suis secrétaire	我是一名秘书
quarante	四十
Je cherche une correspondante de trente à quarante ans	我想找一个30岁到40岁的笔友
J'aime beaucoup la danse	我真的很喜欢跳舞
J'habite en Suisse à Lausanne	我住在瑞士的洛桑
J'ai vingt-deux ans	我22岁
Je suis boulanger	我是一名面包师
J'aime la photo	我喜欢摄影
Portraits	肖像
trouvez l'objet	找到物品
Il y a	有,存在ph.
des fleurs	一些花
Il y a des fleurs dans le jardin	花园里有一些花
Il y a trois arbres	有三棵树
une fenêtre	一扇窗户
J'aime les fleurs	我喜欢花
Elle ouvrent les fenêtres	她们打开窗户
Il ouvre la porte	他打开门
Mon chien est blanc	我的狗是白色的
Alice est très gentille	爱丽丝非常和善
une voiture blanche	一辆白色的汽车
Il y a un salon dans ma maison	我的房子里有一个客厅
une vache	一头奶牛
Les fleurs sont blanches	花是白色的
Alice est ma voisine	爱丽丝是我的邻居
la table et les chaises	桌子和椅子
une pièce	一个房间
J'ouvre la porte de la voiture	我打开汽车的门
Nous aimons les fleurs	我们喜欢花
les chats blancs	白色的猫
ta sœur parle francais	你的姐妹说法语
Les légumes sont bons	蔬菜很好吃
un légume	一种蔬菜n.m.
un fruit	一个水果n.m.
Ces plats sont bons	这些菜很好吃,菜n.m.
Je cuisine un plat	我做一道菜
Ces pizzas sont bonnes	这些披萨很好
Tu cuisines un plat français	你做一道法国菜吗?
Paul prépare le dîner	保罗做晚餐
repas	饮食;餐;进餐n.m.;饭,菜,餐
Tu prépares le repas	你做饭吗?
Ils prennent un thé	他们喝一杯茶(“prennent”是法语动词“prendre”的第三人称复数变位形式。)
Il veut une pomme	他想要一个苹果n.f.
Cette banane est bonne	这根香蕉n.f.很好吃(ce的阴性单数)这。
J'aime les fruits	我喜欢水果n.m.
Je cuisine des légumes	我做一些蔬菜(“des”可以表示一些,用于修饰可数名词复数,不分阴阳性。)
Il mange un œuf	他吃了一个鸡蛋
parfois	有时候
samedi	周六
radio	收音机
dimanche	周日
écoute	听
écoutons	“我们听”。例如:Nousécoutonslamusique.(我们听音乐。)
ai	有
jeudi	周四
dors	睡,睡觉,睡得
vendredi	周五
lit	读,阅读,床
nuit	夜晚,晚
après-midi	下午
mercredi	周三
lis	阅读,读
journal	报纸
mardi	周二
joue	演出,演得,踢得
après	之后,后
jouent	演出,拉得,演奏。例如:Ilsjouentdupiano.(他们弹钢琴。)
soir	晚上
enfant	小孩子,小孩,孩子
lundi	周一
chaque	每个,每,每场
regarde	看
regardent	看
jour	天,日子
télé	电视
bonnes	好的,好吃的,好
cuisine	厨房,菜,正在做饭
cuisines	菜,在做,做
bons	好吃的,美好的,好
plat	菜
légume	蔬菜
préparent	准备,做
bonne	好,好的,美好的
fruit	水果
pomme	苹果
banane	香蕉
ces	这些
prêt	准备好了
prépares	准备,做
prête	准备好了,借
prépare	准备,做
cette	这,这所,这个,用于阴性单数名词前。
préparons	准备,做
déjeuner	午餐,吃午餐
dîner	晚餐,吃晚餐
prennent	拿,吃,喝,动词prendre的第三人称复数形式。
prenons	拿,吃,喝
petit déjeuner	早餐
œuf	鸡蛋,蛋
matin	上午,早上
venir	来,去(朝着说话者的方向或某个特定的地方移动)vs“aller”离开说话者所在的地方前往别的地方
utilise	使用,用
utilises	使用,用
travailler	工作
numéro	号码
écrivent	写,书写;“écrire”(写)的第三人称复数形式。
e-mail	电子邮件
écrit	写,写字;“écrire”的第三人称单数形式
message	信息
un portable	手机
écris	写,在写,正在写;“écrire”的第二人称单数形式
lettre	信
stylo	笔
bureau	办公室,办公桌
travaillons	工作;第一人称复数形式
collègue	同事
usine	工厂
médecin	医生
chauffeur	司机
métier	职业
des	一些,的
ouvrent	打开;“ouvrir”(打开)的第三人称复数形式。
blancs	白色的
ouvrons	打开;“ouvrir”的第一人称复数形式
blanches	白色的,白色;“blanc”(白色的)的阴性复数形式
salon	客厅
ouvres	打开
blanche	白色的,白色,白
blanc	白色的
ouvre	打开
gentille	和善;形容阴性单数名词
Cette fille est gentille.	(这个女孩很和善。)
gentilles	和善
livres	书
vache	奶牛,牛
gentil	和善
gentils	和善
Cédric veut lire trois livres aujourd'hui	"Cédric今天想读三本书"
la salle	"这个房间"
