dehors	:副词,意为 “在外面”,在这里作地点状语,表明吃饭的地点。
savait	:动词 “savoir”(知道)的第三人称单数未完成过去时形式,意为 “知道”,在句中作谓语,表示小女孩过去的认知状态。
de parler	:“de” 在这里引导不定式短语,“parler”(说话)是动词原形,“de parler” 表示 “说话” 这一动作,整个 “de parler à un loup” 是真正的主语,即 “和狼说话” 这件事。
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
dit le loup	:“dit” 是动词 “dire”(说)的第三人称单数直陈式现在时变位,“le loup” 是主语 “狼”,这部分表示 “狼说”,在句中以插入语形式出现,表明话语的发出者。
ce chemin	这条路(“ce” 是指示代词,意为 “这个” ,修饰阳性名词 “chemin”(路))
a couru	:“courir”(跑)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“couru” 是 “courir” 的过去分词,表示狼 “跑” 的动作在过去已经完成。
aussi vite que possible	:固定短语,意为 “尽可能快地” 。“aussi... que” 表示 “和...... 一样”,“vite” 是副词,意为 “快地”,“possible” 意为 “可能的”,整体用来修饰动词 “a couru”,描述狼奔跑的速度。
a pris	:“prendre” 的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“pris” 是 “prendre” 的过去分词,这里 “prendre” 表示 “选择;走(路)” 的意思,“a pris” 表明小女孩过去完成了 “选择(走)” 这个动作。
ne marchait pas	:“marcher” 意为 “行走,走路”,这里使用的是未完成过去时,描述过去持续进行的动作。意思是 “走得不快”。
oiseau	鸟(阳性名词)
et puis	:连词短语,意为 “并且,然后”,用于连接两个并列的动作或情况。
cueillir	:动词原形,意为 “采摘”
Bien sûr	:固定短语,意为 “当然”,在句首作状语,表明一种肯定的态度或理所当然的语气。
Pour aller	:“pour” 是介词,此处表示目的,意为 “为了”;“aller” 是动词原形,意为 “去”,“pour aller” 即 “为了去......” 。
devait	:动词 “devoir” 的第三人称单数未完成过去时形式。“devoir” 常见含义有 “应该;必须”,这里 “devait” 表示小红帽过去必须做某事,带有过去的一种必要性。
traverser	穿过v.穿越
rencontrer	遇见,碰到(动词)
le Loup	:“le” 是定冠词,用于修饰阳性名词;“loup” 是阳性名词,意为 “狼”,“le loup” 即 “狼” 。
Taiwanais	台湾人; 台湾的
sûrement	肯定地,一定地(adv)
nouvel an chinois	中国新年(“nouvel” 是 “nouveau”(新的)修饰以元音或哑音 h 开头的阳性单数名词时的形式)
Pour le nouvel an	过年的时候(pour是介词,此处表时间或对象)
de l'argent	金钱(阳性名词)
longtemps	副词,意思是 “长久地,长时间地”
vivait	:动词 “vivre”(生活,居住)的第三人称单数未完成过去时变位形式,表示过去持续进行的动作或过去的状态,这里指小女孩过去居住的状态。
a donné	动词 “donner”(给)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“donné” 是 “donner” 的过去分词,二者构成现在完成时,表示过去发生并完成的动作
allait	:动词 “aller” 的第三人称单数未完成过去时变位。“aller à qn” 有 “适合某人” 的意思 ,这里 “allait” 表示 “适合” 。
si... que	:固定结构,引导结果状语从句,“si” 后接形容词或副词,“que” 引导结果,意为 “如此...... 以至于” 。
appelait	:动词 “appeler”(称呼,叫)的第三人称单数未完成过去时变位,意为 “称呼,叫” ,表示过去习惯性的动作。
printemps	:阳性名词,意为 “春天” 。
a dit	:“dire”(说,讲)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“dit” 是 “dire” 的过去分词,合起来表示 “说了” 。
Apporte	:动词 “apporter”(带来,带去)的第二人称单数命令式形式,意为 “带去;拿来” ,表示命令或请求对方做某事。
ce petit pot	这一小罐(阳性名词,常见意思为 “罐子” )
pendant	在...期间
roulent	行驶(动词“rouler”的第三人称复数形式)
La terminale	高三
vivre	生活
vivre un peu en Chine	在中国生活一段时间
mieux	更好(bien的比较级)
connaître	认识(动词)
et je voulais vivre un peu en Chine pour mieux connaître la Chine	我想在中国生活一段时间,以便更好地了解中国。
je suis allé à Shanghaï	我去了上海。
Bienvenue à tous	欢迎大家phr.
Un vélib	公共自行车
un vélo libre	公共自行车
le boulevard	大道
Traversez le boulevard Haussmann et prenez la rue Scribe en face de vous	横穿奥斯曼大道，然后走对面的斯克里布街
Ensuite,prenez la grande avenue en face et continuez tout droit,jusqu'au bout	然后，走对面的大街，一直走到尽头
la cour	院子n.f.
d'abord	首先adv.
enfin	最后adv.
jusque	直到prep.（与介词连用，表示时间或空间的限度）
ligne	线路nf.
le métropolitain	地铁nm.
pied	脚nm.
la place	广场n.f.
rollers	滑轮鞋n.m.pl.
vélo	自行车nm.
Prenez-vous le bus	你们坐公共汽车吗？
