bravery	(n.)勇敢，勇气
along	(adv.)一起；prep.沿着
petrol	(n.)<英>汽油
algebra	(n.)代数
human being	(n.)人
generally	(adv.)一般地，通常
alphabet	(n.)字母表
takeaway	(n.)外带食物
slavery	(n.)奴隶制；奴隶身份
scammer	(n.)诈骗犯
accent	"n.口音，腔调；重音符号；v.强调（读作/ækˈsεnt/）"
bald	(adj.)秃头的
horizon	(n.)眼界，见识
demand	(n.)需求；v.要求
presence	(n.)出席，到场；存在
table tennis	(n.)乒乓球，乒乓球运动
ago	(adv.)以前
hopefully	(adv.)有望
compulsory	(adj.)必修的；义务的
porridge	(n.)粥，麦片粥
dimension	(n.)维，维度
junior	"adj.（年级、地位、职位等）低的"
injustice	(n.)不公平，非正义
bargain	(v.)讨价还价
pool	"n.泳池，水塘；池；v.集中资源（或材料）"
research	"n.研究，调查；v.研究，调查"
bedding	"n.寝具；（动物的）草垫；基床"
investigate	(v.)调查，查明；研究
slim	(adj.)苗条的
term	"n.方面，角度（terms）；术语；期限；学期"
owe	"v.欠（债、情）；把……归于"
bad-tempered	(adj.)脾气不好的，易怒的
masterpiece	(n.)杰作
pass	"v.给，传递；经过，度过；（时间）流逝；通过；走…"
borrow	(vt.)借，借入；借用
carpenter	(n.)木匠，木工
identification	(n.)识别；身份证明
conclusion	(n.)结论，推论；结束，结局
irresponsible	(adj.)不负责任的
BC	"abbr.公元前（BeforeChrist）"
investigation	(n.)调查，调查研究
copy	"n.副本，拷贝；(一)本，（一）份；（报刊等的）…"
candidate	(n.)候选人，申请人
give back	(phr.)归还；送回
advantage	(n.)优势
aside	(adv.)在旁边；留存
lawyer	(n.)律师
tournament	(n.)锦标赛，联赛
shark	(n.)鲨鱼
bring	"v.带来；使处于某种状态；把…引入(某地)，把…介…"
currently	(adv.)现在，目前
absent	(adj.)缺席的，不在场的
insure	(v.)为……投保
prey	(n.)猎物
bury	(v.)隐藏，埋藏
pronounce	(v.)发音
nervous	(adj.)紧张的，焦虑不安的
AD	"abbr.(AnnoDomini)<拉>公元"
blanket	(n.)毯子
sausage	(n.)香肠
predator	(n.)捕食性动物
dominate	(v.)支配，统治，控制
careless	(adj.)粗心的
concentrate	(v.)全神贯注于
mainland	(n.)大陆
traditional	(adj.)传统的
encouragement	(n.)鼓励
prince	(n.)王子
shore	(n.)岸
allowance	(n.)零用钱
procedure	(n.)程序
care	"n.照顾，照料；v.关心；在意"
mere	(adj.)仅仅的；纯粹的
surgeon	(n.)外科医生
information	(n.)信息
wed	(v.)结婚
judgement	(n.)判决
paralyze	"vt.使瘫痪；使麻痹；使不能活动"
already	(adv.)已经
noon	(n.)正午，中午
atom	(n.)原子
nosebleed	(n.)鼻出血，流鼻血
blood	(n.)血（液）
swift	"adj.迅速的；敏捷的；n.雨燕"
cube	(n.)立方体，立方
shot	"n.射击，枪声；击球；少量烈酒；照片；注射；v.…"
mustard	"n.芥末；芥菜；芥末色；adj.芥末色的"
photograph	"n.照片；vi.照相，摄影；vt.为……拍照"
north	(adj.)北方的；n.北方
largely	(adv.)大部分地，主要地
profile	(n.)简介，概述
adult	"n.成年人；adj.成年的；成年人的"
kilometer	(n.)千米，公里
allergic	(adj.)过敏的
receipt	(n.)收据，收条
attract	(v.)吸引
marriage	(n.)婚姻
settlement	(n.)定居点
parallel	(adj.)平行的
invention	(n.)发明，发明物
recognition	(n.)识别；承认，认可
local	"adj.当地的；地方性的；n.当地人；（沿线每站都停…"
brave	(adj.)勇敢的
invent	(vt.)发明
corn	(n.)玉米
wear	(v.)穿，戴；磨损
renewable	(adj.)可再生的
housework	(n.)家务劳动
event	"n.活动（指演出、体育比赛、聚会等）；事件，大事"
numb	(adj.)麻木的，失去知觉的
Oceania	(n.)大洋洲
price	(n.)价格，价钱；v.标价
beer	(n.)啤酒
settle	"v.定居；解决；（对......）适应，习惯（于）"
document	(n.)文件，公文；v.记录
volunteer	(n.)志愿者；v.自愿做
chest	(n.)胸膛，胸部；箱子
permit	(n.)执照（读作/ˈp3rˌmɪt/）
throne	(n.)王座
iron	(n.)铁
beside	(prep.)在……旁边
noisy	(adj.)嘈杂的
struggle against	(phr.)与…斗争
official	"adj.官方的，正式的；n.官员"
crazy	(adj.)疯狂的，荒唐的
relax	(v.)放松，休息
boom	(vi.)迅速发展
spoonful	(n.)一匙，一匙的量
suddenly	(adv.)突然地
autumn	(n.)秋天
caption	"n.（图像的）说明文字；（报刊的）标题"
unit	(n.)部门，单位
task	(n.)任务，工作
ceiling	(n.)天花板
case	(n.)情况；案件
hobby	(n.)业余爱好
September	(n.)九月
shallow	(adj.)浅的
ruin	(v.)毁灭，毁坏
vain	(adj.)徒然的，没用的
worn	(adj.)用旧的
list	"n.目录，表，名单；v.列清单"
sail	(vi.)航行
storm	"n.暴风雨，暴风雪；v.大发雷霆"
supreme	"adj.至高的；最重要的；极度的"
determine	(v.)决定，支配；确定，测定
net	(n.)球网；通信网
true	"adj.正确的，符合事实的；真实的，真正的"
basic	(adj.)基础的，最简单的
ticket	(n.)票，入场券
bush	(n.)灌木丛
frontier	(n.)新领域
relaxation	(n.)放松，休养
scores of	(phr.)许多，大量
Arctic	(n.)北极
value	(n.)价值；v.重视；评价
captain	(n.)船长，机长
hurt	"v.使受伤；adj.受伤的，受损的"
smoker	(n.)吸烟者
level	(n.)水平，标准，等级
oral	"adj.口腔的；口头的，口语的"
unforgettable	(adj.)难忘的
constantly	(adv.)不断地，时常地
mask	(n.)面具
damage	"v.损害，毁坏，破坏；n.损坏，毁坏，破坏；伤害"
donator	(n.)捐赠人
agriculture	(n.)农业
sugar	(n.)食用糖；糖
edit	(v.)编辑
pyramid	(n.)金字塔
carve	(v.)雕刻
civil	(adj.)民用的，公民的
myth	"n.神话；杜撰出来的人（或事物）"
attain	(vt.)获得，得到
revision	(n.)修改；复习
sense	"n.感觉；道理，合理性；常识；v.觉得，意识到"
thorough	(adj.)彻底的，完全的
talent	(n.)天赋，才能；天才，人才
unwilling	"adj.不愿意的，不情愿的，勉强的"
frequently	(adv.)频繁地
retell	(vt.)再讲；重述
guy	(n.)家伙
threat	(n.)威胁，恐吓
sweat	(n.)汗水；v.出汗
rob	(v.)抢劫，盗取
put off	(phr.)推迟
occurrence	(n.)发生，出现
toast	(n.)烤面包，吐司；敬酒
away	"adv.离开，远离；……掉；adj.不在的"
footstep	(n.)脚步；脚步声
rough	(adj.)粗糙的
considerate	(adj.)体贴的，考虑周到的
turkey	(n.)火鸡
basketball	(n.)篮球
tall	(adj.)身材高的，高大的
educational	(adj.)教育的
palace	(n.)宫殿
sentence	(n.)句子
regardless	(adv.)不论，无论
together	"adv.一起，在一起；共同；同时"
collar	(n.)衣领
everyday	(adj.)日常的，每天的
respectful	(adj.)表示尊敬的
clean	"adj.清洁的，干净的；v.（使）清洁，清理；打扫…"
boyhood	(n.)童年，少年时代
railway	(n.)铁路
clear	"adj.清楚的；显然的；明确的，澄清的；透明的；晴…"
pine	(n.)松树
unwise	(adj.)不明智的
lotus	(n.)莲花，荷花
able	(adj.)能够……的
series	(n.)系列，系列节目
iceberg	(n.)冰山
beneath	(prep.)在……下方；低于
minus	"prep.减，减去；adj.负的；n.缺点"
tomorrow	"adv.在明天，在明日；n.明天"
appropriate	"adj.合适的，适当的（读作/əˈprəʊpriət/）"
brightness	(n.)【光】亮度
nonsense	(n.)废话，胡说
cost	"n.成本；代价，损失；v.价钱为，需花费"
threaten	(v.)威胁
decrease	(v.)减少；降低；n.减少
grade	"n.年级；成绩；成绩等级，评分级别；分数"
thousand	(num.)一千，一千个
marginal	(adj.)边缘的
solar	(adj.)太阳能的
piece	"n.块，碎块；片；（艺术家、音乐家或作家的）作…"
signature	"n.签名，署名；adj.标志性的，惯有的"
controversial	(adj.)有争议的
seaweed	(n.)海草，海藻
involve	"v.涉及；卷入，使参与；包含"
cloud	(n.)云
Egypt	(n.)埃及
innocent	(adj.)天真的，单纯的
advance	"n.进步，进展；预先；v.促进，推动；发展"
king	(n.)国王，君主
suggestion	(n.)建议，意见
relationship	(n.)关系
gatherer	(n.)采集者
shortly	(adv.)不久，立刻
tentative	(adj.)试探性的
easy	"adj.容易的；舒适的，从容的"
choral	(adj.)唱诗班的，合唱队的
tobacco	(n.)烟草，烟叶
single	"adj.单一的；单人的；未婚的；单身的"
vary	(v.)相异；（根据情况）变化
announce	(vt.)宣布；v.显示
slight	(adj.)轻微的，微小的
spread	"v.传播；撒，散播；铺开；n.散布，传播"
aircraft	(n.)飞机，航空器
parrot	(n.)鹦鹉
weak	(adj.)差的，衰弱的；软弱的
actor	(n.)演员，男演员
awful	(adj.)糟糕的，讨厌的
trick	(n.)诀窍；把戏；v.欺诈
effect	(n.)影响；效果；作用；效应
stream	"n.小河，溪；流；一股，一串"
intention	(n.)目的，意图
terrify	(vt.)使害怕，使惊恐
bathroom	(n.)浴室，盥洗室
eager	"adj.热切的，渴望的，急不可耐的"
laughter	(n.)笑，笑声
switch	"v.转换；开关；转移；n.开关；转换"
geographical	(adj.)地理的，地理学的
passive	"adj.被动的；消极的；n.被动语态"
inside	"prep.在……里面，在......之内；在...…的心里；a…"
mystery	(n.)难以理解的事物
heel	"n.（鞋、袜子、脚）后跟；v.修理后跟；倾侧"
waist	(n.)腰
decline	"n.下降；衰退，衰落；v.减少；下降；拒绝，谢绝"
claw	"n.爪；钳；v.抓，挖；（艰难地）挪"
sheep	(n.)绵羊（单复数同形）
seasonal	(adj.)季节性的
head	"n.头；领导人；v.前进；adj.首要的"
castle	(n.)城堡
admire	(vt.)钦佩，崇拜；欣赏
swap	(n.)交换
everyone	(pron.)每个人，人人
shy	(adj.)害羞的
wisdom	(n.)智慧，学问
arrive	(v.)到达
syllable	(n.)音节
century	(n.)世纪，百年
yummy	(adj.)美味的
digital	(adj.)数字的；数码的
zip	"v.拉拉链；压缩（文件）；快速移动；n.拉链；活…"
customs	(n.)海关
publication	出版，发表;(n.)出版物；出版，发行
deed	(n.)行为；契约;(n.)行为
option	选择；选择权;选择;(n.)选择；选项
serve	服务；提供；对……有用;"v.可用作，可当…...使；供应；服务；对…...有用；…"
star	(n.)星，恒星；明星，名角；五角星形；adj.用星装…;(n.)明星，名角；v.主演
entrance	"n.入口，通道；大门口；出场，登场；进入；（大学…";"n.入口，通道；（俱乐部、社团、大学等的）准许加…"
excuse	"n.理由，借口（读作/ɪkˈskjuːs/）；低劣的样品…";"n.理由，借口（读作/ɪkˈskjuːs/）；v.准许离开"
arrival	(n.)到来，到达；到达者；新来的人；抵达时间;(n.)到来，到达
senior	"adj.资格老的，地位较高的；n.（大学或高中）…";"adj.年长的；（高中或大学）毕业年级的；资格老…"
accelerate	加速，促进;(v.)加速，增长
origin	(n.)起源；由来，来源；出身;(n.)起源；出身
modernize	(使)现代化;(v.)（使）现代化
lively	有活力的；活泼的;(adj.)生动的
enough	"det.足够的；adv.足够地；pron.很多；充足；…";(adv.)足够地；det.足够的
different	不同的;(adj.)不同的
cuisine	(n.)菜肴；烹饪；风味;(n.)菜肴
pest	害虫;"n.害虫；讨厌的人（或东西）"
exhaust	使筋疲力尽;(vt.)耗尽；使筋疲力尽
sacrifice	"v.牺牲；献祭；奉献；做出牺牲；n.祭品；牺牲；…";(v.)牺牲；n.祭品；牺牲
frighten	吓唬;(v.)惊吓
deal	交易;"v.处理，应对；quant.大量；n.交易；优惠的价格"
powder	(n.)粉末；火药；细雪；v.抹粉；洒粉于，使变成粉;"n.粉末；细面；火药；v.抹粉"
decent	正派的，得体的;(adj.)体面的，得体的
alarm	警报器;"n.警报器，警报；闹钟；惊恐，忧虑"
spot	发现；认出；看出;"v.看见，注意到，发现；n.地点；点，斑点"
spear	矛，梭镖;"n.矛；标枪；嫩枝；v.刺，戳"
furious	狂怒的
confess	承认；坦白
hostile	敌对的
remedy	治疗方法；
pointed	尖的;突出的
coconut	椰子
hell	地狱
plankton	浮游生物
firmness	坚定；坚固
indicative	象征的；指示的
lifeless	无生命的；无趣味的
gamble	赌博
cease	停止
empathetic	移情的；有同感的
presently	一会儿；现在
auditorium	观众席；礼堂
exertion	发挥；运用
drugstore	药店
discreet	谨慎的
dramatize	戏剧化
association	"n.协会，联盟，社团；关联；联想";联合；联盟
gram	(n.)克;克
nephew	(n.)侄子，外甥;侄子；外甥
analytical	(adj.)分析的;分析的
dominant	(adj.)主要的，占优势的;支配的;显性的；占优势的
loose	(adj.)宽松的;松的；松散的
competent	(adj.)有能力的;有能力的
economic	(adj.)经济上的，经济学的;经济的
