une fenêtre	一扇窗户
écris	写，在写，正在写; “écrire” 的第二人称单数形式
lettre	信
stylo	笔
ordinateur	电脑
bureau	办公室，办公桌
travaillons	工作;第一人称复数形式
collègue	同事
usine	工厂
médecin	医生
chauffeur	司机
métier	职业
des	一些，的
ouvrent	打开;“ouvrir”（打开）的第三人称复数形式。
fleur	花
blancs	白色的
ouvrons	打开;“ouvrir” 的第一人称复数形式
blanches	白色的，白色;“blanc”（白色的）的阴性复数形式
pièce	房间
chaise	椅子
salon	客厅
ouvres	打开
blanche	白色的，白色，白
blanc	白色的
ouvre	打开
fenêtre	窗户
porte	戴，带，穿
gentille	和善;形容阴性单数名词
Cette fille est gentille.（这个女孩很和善。）
gentilles	和善
livres	书
vache	奶牛，牛
gentil	和善
gentils	和善
Cédric veut lire trois livres aujourd'hui	"Cédric今天想读三本书"
la salle	"这个房间"
Il y a trois pièces	有三个房间
J'aime l'appartement de mes voisins	我喜欢我邻居的公寓
vêtements	衣服
six	六
robe	连身裙，连衣裙，洋装
pantalon	裤子
cher	(adj.)(m)亲爱的;贵的
chère	(adj.)(m)亲爱的（阴性）;亲爱的；贵的（阴性形式）
t-shirt	"T恤衫"
rouges	红色的（复数形式）
rouge	红色的；红色
achètes	买
veste	夹克，上衣
coûtent	要（第三人称复数形式）
du	从，的，对
achète	买
jupe	裙子
prix	价格，奖
combien	多少；多少钱
ça	这，那个，那
coûte	要（第三人称单数形式）
chers	贵（阳性复数形式）
chères	贵（阴性复数形式）
euro	欧元
chaussure	鞋
sac	包
dix	十[dis];十
neuf	九[nœf];(adj.)新的，新建的，新做的，尚未用过的；;九
huit	八[ɥit];八
sept	七[sɛt];七
les chaussures rouges	红色的鞋
Les robes sont rouges	连衣裙是红色的
six robes	六条连衣裙
Les sacs sont rouges	包是红色的。
Les vêtements coûtent neuf euros	衣服要九欧元。
C'est combien	这多少？
Ce pantalon est cher	这条裤子很贵
C'est huit euros	这是八欧元
Je veux une jupe blanche	我想要一条白色的裙子
Les sacs sont chers	包很贵。
les vêtements	衣服
le prix des jupes	裙子（复数）的价格（“des”在这里是“de”（表示所属关系“的”）和复数定冠词“les”的缩合形式。）
les chaussures vertes	绿色的鞋
Il y a sept magasins	有七家商店
Les pizzas sont chères	披萨很贵。
Mon sac est ici	我的包在这里。
Où est ma chaussure	我的鞋在哪里？
le prix de la pomme	苹果的价格
le prix de la pizza	披萨的价格
Le livre coûte huit euros	书要八欧元。
Combien ça coûte	这要多少钱？
le prix du sac	包的价格（“du”是“de”（表示“的”，用于引出所属关系等）和定冠词“le”的缩合形式。）
peux	能，可以
brun	棕色的
quel âge	几岁
as-tu	你有没有，你有吗
an	岁
parlons	说话，说
venons	来
blond	金色的，金色头发
jeune	年轻的
ne	不，没
viennent	来
pas	不，没，没有
vient	来
viens	来
canadien	加拿大人
quatorze	十四[katɔrz];十四
quinze	十五[kɛ̃z];十五
treize	十三[trɛ:z];十三
douze	十二[du:z];十二
onze	十一[ɔ̃z];十一
italien	(adj.)意大利的，意大利语的;n.意大利人；n.m.意大利语;
marcher	走路，走
dois	应该
important	重要的
aller	去；走；处于（某种状态）;运转，进行，进展v.i.;去
près de	靠近，接近
derrière	在……后面
immeuble	大楼，建筑物
intéressant	有趣的
à droite	在右边
première	第一的；首要的（阴性形式）；第一层（楼）
tourner	转弯；转动；翻转
à gauche	在左边
devant	在……前面
habiter	居住(在)v.;居住
Écoutez et répétez les phrases	听并重复这些句子。
Je voudrais poser une question	我想要提一个问题。
Qu'est-ce que ça veut dire	这是什么意思？（用于询问某个单词、短语、句子或者某个情况所表达的含义。）
Qu'est-ce que c'est	这是什么？
Ça se prononce comment	这个怎么发音？
Je ne comprends pas	我不明白，我不懂。
Je n'ai pas bien compris	我没有理解好，我没太明白。（compris是动词“comprendre”（理解，明白）的过去分词形式）
Vous pouvez expliquer encore une fois	您（你们）可以再解释一次吗，拜托了？,s'ilvousplait
Je ne comprends pas ce qu'il faut faire	我不明白需要做什么。
Est-ce qu'il y a des devoirs	有作业吗？
Je suis désolé	我很抱歉，（我把作业忘在家里了。）
j'ai oublié mes devoirs à la maison	我把作业忘在家里了。
Est-ce que c'est possible d'apporter mon devoir demain	明天带来我的作业，这是可能的吗？
Est-ce que je peux aller aux toilettes	我可以去厕所吗？
Excusez-moi	“对不起，打扰一下；请原谅我”，是非常常用的礼貌用语。
je ne me sens pas bien	“我感觉不舒服”。
infirmerie	(军队、学校等的)诊疗所,医务室（n.f.)
est-ce que je peux aller à l'infirmerie	我可以去医务室吗？
Ca va comme ça	“这样就行了吗？这样就可以了吗？这样还好吗？”表示对某个事物或情况是否达到预期状态的一种询问。
Je ne sais pas	“我不知道”。(sais：是动词“savoir”（知道，会）的第一人称单数现在时)
J'ai oublié	“我已经忘记了”。(“oublier”（忘记）的过去分词,表示动作已经发生)
Je serai absent demain	“我明天将缺席”。(serai：是动词“être”（是）的第一人称单数简单将来时)
prochaine	“下一个的，即将到来的”
la semaine	“星期，周”(阴性)
Je serai absent la semaine prochaine.	“我下周将缺席”。
dernière	“最后的，上一个的”
J'étais absent la semaine dernière	“我上周缺席了”。(“étais”是动词“être”（是）的第一人称单数未完成过去时变位形式)
Épelez	动词“épeler”（拼写）的第二人称复数命令式形式
Épelez votre nom	（拼写你们的名字。）
Écrivez	动词“écrire”（写）的第二人称复数命令式形式
Écrivez votre nom	写下你们的名字
Écoutez	动词“écouter”（听）的第二人称复数命令式形式
Écoutez bien	好好听
Répétez	动词“répéter”（重复）的第二人称复数命令式形式
Répétez après moi	（跟我重复。）
Ne regardez pas le livre	“不要看这本书”。（regardez：是动词“regarder”（看，注视）的第二人称复数现在时变位形式）
Ouvrez votre livre	“打开你们的书”。动词“ouvrir”（打开）的第二人称复数命令式
Fermez le livre	“合上（关闭）这本书”。是动词“fermer”（关闭）的第二人称复数现在时
Attendez	动词“attendre”（等待）的第二人称复数命令式
Attendez-moi	（等等我！）
Encore une fois	“再一次，又一次”。
Peut-on utiliser le dictionnaire	“可以使用词典吗？”（“peut”是动词“pouvoir”（能够，可以）的第三人称单数现在时变位形式，表示可能性；“-on”是泛指人称代词，相当于“人们，大家”）
C'est pour quand	“这是（安排）在什么时候的呢？”
aider	动词，意为“帮助”
Vous pouvez m'aider	“您（们）能帮助我吗？”（“m'”是直接宾语人称代词“me”（我），
Venez ici	“到这里来”，是一种命令或邀请的表达。（动词“venir”（来）的第二人称复数命令式）
tableau	名词，意为“黑板；图画；表格”
Venez au tableau	“到黑板这儿来”。
Qui est absent	“谁缺席了？”
volontaire	名词，意为“志愿者”，也可作形容词表示“自愿的”
Est-ce qu'il y a un volontaire	“有志愿者吗？”
faire	动词，意为“做，制造”
Vous avez dix minutes pour faire le test	“你们（您）有10分钟来做测试”。（动词“avoir”（有）的第二人称复数现在时）
fini	形容词，意为“结束的，完成的”
C'est fini	“结束了”。可以用于表示某个活动、事情已经完成。
Travaillez	是动词“travailler”（工作，学习，劳动等）的第二人称复数命令式形式
Travaillez par groupe de deux personnes	“两人一组进行（工作、学习等）”。
Faites	动词“faire”（做，制造，使……成为）的第二人称复数命令式形式
Faites des groupes de trois personnes	“组成三人一组（的小组）”。
Demandez	动词“demander”（问，要求）的第二人称复数命令式形式
Demandez à votre voisin	“问问你们的邻座（邻居）”。
Au revoir	“再见”。
À demain	“明天见”，是一种约定下次见面时间的告别用语。
semaine	名词，意为“星期、周”
À la semaine prochaine	“下周见”
Bonnes vacances	“假期愉快”
anniversaire	名词，意为“生日；周年纪念日”
Bon anniversaire	“生日快乐；周年纪念日快乐”，是一种常用的祝福语。
Joyeux	形容词，意为“快乐的，欢乐的”
Noël	名词，意为“圣诞节”
Joyeux Noël	“圣诞快乐”，是在圣诞节期间人们互相祝福的常用语。
année	名词，意为“年；年份”
Bonne année	“新年好”，是新年期间人们互相祝福的常用语。
troisième	第三的
visiter	参观
lieu	地方
dangereux	危险的
trouver	找到
deuxième	第二的
loin	远
près	附近的
pont	桥
route	路
près du	靠近
près de	靠近，接近
derrière	在……后面;后面
habiter	居住(在)v.;居住
immeuble	大楼，建筑物;大楼
intéressant	有趣的
à droite	在右边;右
première	第一的；首要的（阴性形式）；第一层（楼）;第一的
les pommes de terre	土豆
Je ne sais pas	“我不知道”。(sais：是动词“savoir”（知道，会）的第一人称单数现在时);我不知道
savoir	知道，会
Tu peux marcher	你能走路吗？
Tu dois aller à droite	你应该去右边
la première rue	第一条街
devant la voiture	汽车前面
Tu dois tourner ici	你应该在这里转弯
Tu ne peux pas tourner ici	你不能在这里转弯
C'est à gauche	在左边
la première rue à droite	右边第一条街
un immeuble	一栋大楼
près de la boulangerie	面包店附近
dangereuse	危险的，是“dangereux”的阴性形式
C'est un pont important	这是一座重要的桥。
près de l'école	学校附近
parisiennes	意为“巴黎的”，是阴性复数形式
les rues parisiennes	巴黎的街
C'est loin d'ici	离这里很远。
la première rue à gauche	左边第一条街
C'est à droite	在右边吗？
C'est loin de Paris	离巴黎很远。
Je dois marcher	我应该走路。
Tu dois tourner à gauche	你应该左转弯。
derrière la voiture	汽车后面
un pont	一座桥
le voisin	阳性，男邻居
la voisine	女邻居
les voisins	男邻居（复数）
les voisines	女邻居（复数）
l'étudiant	男学生;男学生
les étudiants	（这些学生）“les”在法语中是定冠词“the”，用于修饰复数名词。;男学生（复数）
les étudiantes	女学生（复数）
Ce sont les livres de Paul	这些是保罗的书
Ce sont les étudiants de la première année	这些是一年级的学生
des voisins	一些邻居（男性邻居或男女混合的邻居）
des voisines	一些女邻居
C'est une voisine	这是一位女邻居
Ce sont des étudiants	这些是学生
Il va au café	他去咖啡馆
Je vais au Japon	我去日本
bibliothèque	图书馆（阴性）
Elle va à la bibliothèque	她去图书馆
Il travaille à l'hôtel	他在酒店工作
Il habite aux États-Unis	他住在美国
Les États-Unis	美国；美利坚合众国
les Philippines	菲律宾;“菲律宾”
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
C'est une adresse	这是一个地址
pourquoi	为什么
québécois	魁北克人
voulez	要，想要
tous les jours	每天
prenez	带，乘坐，上
achetez	买
baguette	法棍面包
allez	去，会，走
lisez	阅读，阅
nos	我们的
avez	有
vos	你们的，妳们的，您的
n'est pas marié	未婚
notre	我们的
marié	婚，已婚的
habitez	住，住在
ensemble	一起，俱
aimez	喜欢
mariés	结婚了
étudiez	学习
parlez	说，谈论
cuisinez	做
travaillez	工作，工
dansez	跳舞，舞
êtes	是，很，在
quand	疑问副词，意为“什么时候”
belge	比利时的adj.英文表达是“Belgian”;比利时人n.Belge（首字母大写）英文表达是“Belgian”（单数形式）/“Belgians”（复数形式）;比利时人
quand	疑问副词，意为“什么时候”
avec qui 和谁
il est	他是;他，在，现在是
sucre糖
nageons	游泳，泳
du pain	面包
céréales 谷物食品
mois	月
année 年
apprendre    学习，学
lentement	慢,慢慢地
choisissent选择
animaux	动物
le soir在晚上
neige雪，下雪
ciel天空
sympa讨人喜欢的，亲切
parce que	因为
