Il en reste 11	剩下11个
un biopic	传记片(biography picture的缩写)
un film	电影(阳性名词)
raconter	讲述
raconte	讲述(动词 raconter(讲述)的直陈式现在时第三人称单数变位形式)
célèbre	著名的
un biopic,c'est un film qui raconte l'histoire de quelqu'un de célèbre	传记片是讲述某个著名人物的故事的电影("qui" 是关系代词,指代前面的 "film",意思是“它”。)
dit	是动词 "dire"(说)的过去分词,表示“说”
J'ai dit à un ami chinois, je vais voir un biopic sur Bob Dylan	我告诉一个中国朋友我要去看一部关于鲍勃・迪伦的传记片(sur:介词,表示“关于”)
C'est qui	是谁?(qui:疑问代词,表示“谁”)
chanteur	歌手(阳性名词)
vieux	老的(形容词)
toujours	仍然(副词)
vivant	活着的(形容词)
C'est un chanteur américain qui est vieux, il est toujours vivant	他是一个美国歌手,年纪大了,但仍然活着。
L'acteur	演员(阳性名词)
joue	扮演”(动词 jouer(演)的直陈式现在时第三人称单数变位形式)
L'acteur qui joue Bob Dylan c'est Timothée Chamalet	扮演鲍勃・迪伦的演员是蒂莫西・夏勒梅("qui" 是关系代词,指代前面的 "acteur",意思是“他”。)
siècle	世纪(阳性名词)
vingtième siècle	二十世纪
20e siècle,1901 - 2000	"20世纪:1901年 - 2000年"
Ce WE	这个周末(WE 是 “week-end” 的缩写)
très beau	非常美丽;非常好
Ce WE à Paris, il fait très beau mais un peu froid	这个周末在巴黎,天气很好,但有点冷。("fait" 是动词 "faire"(做、使)的第三人称单数形式,这里表示“天气是”或“天气状况是”。)
il pleut à Shanghaï et il fait un peu froid	上海下雨了,而且有点冷("pleut" 是动词 "pleuvoir"(下雨)的第三人称单数形式,这里表示“下雨”)
Lundi, tes parents vont au travail	周一,你的父母去工作吗?
ils sont en vacances	他们在放假
Quand est-ce qu'ils vont au travail	他们什么时候去工作?
Mon meilleur ami	我最好的朋友(meilleur:形容词,意为“最好的”,男性)
ma meilleure amie	我最好的朋友(meilleure:形容词,意为“最好的”,女性)
Qui est votre meilleure amie	你最好的朋友是谁?("votre" 是“你的”或“您的”)
comme moi	和我一样
même classe	同班
Elle s'appelle Lydia, elle a 15 ans comme moi, on est dans la même classe	她叫莉迪亚,和我一样15岁,我们在同一个班级。
connaît	认识(动词 connaître(认识)的直陈式现在时第一人称单数变位形式)
depuis 6 mois	“6个月以来"
Je la connais depuis 6 mois	我认识她已经6个月了
Elle est petite comme moi	她和我一样矮。
belle	漂亮的(形容词,用于女性名词)
C'est ma meilleure amie parce qu'elle est très intelligente, très belle	她是我最好的朋友,因为她非常聪明,非常漂亮。
J'aime beaucoup ses yeux	我非常喜欢她的眼睛。
Que faites-vous ensemble	你们一起做什么?
vie	生活(阴性名词)
On parle beaucoup ensemble de notre vie, on est à l'école ensemble.	我们一起聊很多关于我们生活的事情,我们在一起上学。
La vie est belle	生活是美好的
Vous parlez de quoi	你们聊什么?
un beau gosse	一个帅哥(“beau” 是形容词,意为“帅的、美的”,“gosse” 是名词,意为“男孩”或“年轻男性”)
peur	害怕(名词)
Elle n'aime pas beaucoup les garçons, elle a peur des garçons	她不太喜欢男孩,她害怕男孩。
Mon professeur préféré	我最喜欢的老师(préféré:形容词,意为“最喜欢的”,阳性形式)
a été	“être” 的直陈式复合过去时第三人称单数形式,表示“是”或“在”
expliquer	解释(动词原形)
expliquez	解释(动词 expliquer(解释)的第二人称复数命令式形式)
Parlez d'un professeur qui est, ou a été, important pour vous et expliquez pourquoi	谈谈一个对你来说很重要的老师,或者是一个你最喜欢的老师,并解释为什么。
il est mon professeur préféré	他是我最喜欢的老师
il a été mon professeur préféré	他曾经是我最喜欢的老师
mince	苗条的(形容词)
Elle s'appelle Madame Lu, elle est professeur de français, elle a 29 ans, elle est petite et mince	她叫陆老师,是一名法语老师,29岁,身材娇小苗条。
Elle est très gentille	她非常和蔼。
s'occuper de	照顾(动词短语)(“se” 是自反代词,表示“自己”)
Elle s'occupe bien de nous	她很好地照顾我们。
Et elle est très intelligente	而且她非常聪明。
des fois	有时候,在句中作时间状语,表明动作发生的频率
serre	“抱紧,搂住”(动词 serrer(抱)的第三人称单数形式)
ses bras	她的胳膊
dans ses bras	在她的怀里
Elle parle très bien français et des fois elle nous serre dans ses bras	她法语说得很好,有时候还会抱我们。
serrer quelqu'un dans ses bras	抱某人(quelqu'un:是不定代词,意为 “某人”)
gentille	和蔼的(形容词)
entendre	动词,意为 “听见,听到” 。
voir	:动词原形,意思是 “看望;看见”,在句中作 “vais” 的补足语,表明 “去” 的目的。
naître	出生(动词)
connaître	认识(动词); 认识, 知道, 了解
le nouvel an chinois	表示“中国新年”,nouvel an 是“新年”,chinois 表示“中文的,或中国的”。; 春节
l'histoire	表示 “故事” ,定冠词 “l'” 是 “le” 或 “la” 在以元音或哑音 h 开头的名词前的缩合形式,在这里特指这个特定的故事。; 故事(阴性名词)
quelqu'un	某人(不定代词)=英语的 "someone"
fiche	是动词 “ficher” 的第一人称单数变位,意为 “在意,关心
Je m'en fiche	我不在乎(“en” 是副代词,代替前文提到的事物或情况,“me” 是自反代词)
préférée	最喜欢的(阴性形容词)
sévère	严格; 严厉的(形容词)
