diverse (adj.) 多样的
shave "v.剃（须发），刮脸；n.剃须，修面"
constant (adj.) 持续不断的
establish "v.建立；使成为；确立；创立"
enthusiastic "adj.狂热的，极感兴趣的；热情的"
gorilla (n.) 大猩猩
Switzerland (n.) 瑞士
contemporary (adj.) 当代的，现代的
grave "adj.严肃的，庄重的；n.墓"
convince (vt.) 使信服
ape (n.) 类人猿
greed (n.) 贪欲，贪婪；贪吃
current (adj.) 当前的，现在的
greengrocer (n.) 蔬菜水果商
dial (n.) 仪表盘
grizzly (n.) 灰熊；adj.灰色的
goods (n.) 货物，商品
define (v.) 给（词、短语等）下定义
circumstance (n.) 情况；环境
evident "adj.显然的，明显的，明白的"
seminar (n.) 研讨会
carry out (phr.) 开展
evolve (v.) （使）逐渐发展；进化
forum (n.) 论坛
gram (n.) 克
grand "adj.大的；壮丽的，宏伟的，宏大的"
awkward (adj.) 尴尬的
racial (adj.) 种族的；人种的
accord (n.) 协议；vt.授予
associate "v.关联；联系；与......有关；adj.副的；n.伙伴…"
boast "v.吹嘘；夸耀；（地方、机构等）自豪地拥有（好的…"
glare (n.) 眩目的光；v.怒目而视
commissioner (n.) 委员，专员，理事
burden (n.) 负担
congress (n.) 国会
adjust (v.)调整，调节;适应
metropolitan (adj.)大城市的，大都会的
feature "n.特征，特点，特色;v.以..….为主要组成
association "n.协会，联盟，社团;关联，联想"
overcome (vt.)克服
exceed (v.)超过
force "v.强迫;n.力量;军队，部队”
famine (n.)饥荒;严重的缺乏
fertilizer (n.)肥料，化肥
apparently (adv.) 显然
genuine (adj.) 真的；真正的；真诚的
acknowledge (vt.) 承认；认可
fragile "adj. 易碎的；易损坏的；虚弱的；脆弱的"
sow (v.) 播种；种
motivate (vt.) 激励
precisely "adv. 准确地；精确地；恰恰"
fence (n.) 篱笆， 围栏 ，栅栏
fertile (adj.) 肥沃的
overnight "adv. 整夜 ，一夜之间 ，突然（读作/ ˌouvər ˈnaɪt/） …"
mass "adj. 大量的；n. 大量 ，一堆； [物]质量"
fuel (n.) 燃料；v. 加强；激起
chaos (n.) 混乱 ，纷乱
efficiency (n.)效率
obvious "adj.明显的，显而易见的;了无新意的;平
budget (n.)预算;v.预算 ，安排
dread "v.惧怕，害怕;n.畏惧，恐惧;adi.恐怖的使…"
administration (n.) 管理 ，行政
anxiety (n.) 焦虑
drawer (n.) 抽屉
garlic (n.) 大蒜
assess (vt.) 评估
economics (n.) 经济学；经济情况
engage (v.) 参加；使订婚
disadvantage	(n.) 弊端
nightfall	(n.) 黄昏 ，傍晚，   日暮
host	"n. 主人 ，东道主；节目主持人；大量；   v. 主持 ，主办"
identify	(v.) 识别出；确定 ，鉴定
maintain	"vt. 保持 ，维持；维护 ，维修"
urban	"adj. 城市的 ，城镇的 ，都市的"
install	(v.) 安装 ，安置
fare	"n. 票价；   v.   （事情）进行得（好或坏）"
personality	(n.) 性格
programmer	(n.) 程序员
farmyard	(n.) 农家庭院
fascinating	"adj. 迷人的 ，有极大吸引力的"
overcome	(vt.) 克服
literature	(n.) 文学
obviously	(adv.) 明显地
illegal	(adj.) 非法的
fax	(v.) 用传真传输
loaf	(n.) 一条（ 面包）
payment	(n.) 付钱
mathematical	(adj.) 数学的
elementary	(adj.) 小学的；基本的
finance	(n.) 金融
brand	(n.) 品牌
energize	(v.) 使......精力充沛
boil	(v.) 用开水煮 ，在沸水中煮
bill	"n. 账单；纸币 ，钞票；议案 ，法案"
equality	(n.) 同等 ，平等； 【数】  等式
pillow	(n.) 枕头
eruption	(n.) 喷发
exceed	(v.) 超过
ethics	(n.) 行为准则；道德规范
mop	(v.) 用拖把拖洗 、擦抹
financial	"adj. 金融的；经济的；财务的"
keeper	(n.) 饲养员；管理人；看守人
symphony	(n.) 交响乐
exotic	"adj. 奇异的 ，珍奇的 ，来自异国的"
force	"v. 强迫；   n. 力量；军队，部队"
expectation	(n.) 期望；预期
former	(adj.) 以前的
explicit	(adj.) 明确的
wheat	(n.) 小麦
eyebrow	(n.) 眉毛
bridegroom	(n.) 新郎
duration	(n.) 持续时间
greatly	(adv.) 大大地
eyewitness	(n.) 目击者
dare	(v.) 敢于
energetic	"adj. 精力充沛的 ，充满活力的"
engine	(n.) 引擎
condition	"n. 条件；状况 ，状态； v.使适应 ，使处于良好状态"
rise	"vi. 升起 ，上升 ，上涨；增长； （权力或地位）升高 …"
enlarge	(v.) 放大 ，扩展
consequence	(n.) 结果；后果
enormous	(adj.) 巨大的
well-known	(adj.) 有名的 ，著名的
convenience	(n.) 方便；便利设施
microphone	(n.) 话筒 ，麦克风
fetch	(vt.) 取来
dine	"v. 用正餐（或晚餐）；吃饭 ，用餐；招待 … … 吃饭"
enquiry	(n.) 询问
disapprove	(vi.) 不同意
tooth	(n.) 牙齿
exhausted	(adj.) 精疲力竭的；耗尽的
faithfully	(adv.) 忠实地
over	"prep. 多于；超过；在 …期间 ；遍及；在 … …上方；…"
famine	(n.) 饥荒；严重的缺乏
author	(n.) 作者 ，作家
drill	(n.) 演习
gradually	(adv.) 渐渐地
entry	"n. 进入；参赛作品；竞赛答题；入口处"
embassy(n.)大使馆，大使馆全体人员
decade(n.)十年，一个年代
destination (n.)目的地
ecological(adj.)生态的，生态学的
barber(n.)理发师;理发店
obvious "adj.明显的，显而易见的;了无新意的;平
entertaining(adj.)有趣的，令人愉快的
upload (v.)上传;上载;n.上传
powder (n.)粉末;火药;细雪;v.抹粉;洒粉于，使变成粉
drawback(n.)缺点
access"n.(使用或见到的)机会，权利;接触，通道;访问"
elect (v.)选举 ，推选，选择
draft(n.)草稿
embassy(n.)大使馆;大使馆全体人员
volcanic (adj.)火山的
destination(n.)目的地
endeavor"n.尝试 ，努力 ，尽力;v.努力 ，尽力’
palm(n.)棕榈树
ecological(adj.)生态的，生态学的
dusk(n.)黄昏，傍晚
garlic(n.)大蒜
easy-going(adj.)随和的
dozen(num.)许多;一打，十二个
category(n.)类别
engage(v.)参加，使订婚fasten(v.)扎牢，扣住
fertilizer(n.)肥料，化肥
loyal (adj.忠心的 ，忠诚的;的;n.…
collapse (n.崩溃;v.崩溃
crash (n.撞车;碰撞;坠毁;崩溃;轰隆声;v.碰撞;…"
scan(v.细看;浏览;扫描;详细调查;押韵;【计】 扫描 …"
due (adj.由于，因为;预期的;到期的'
owed (adj.亏欠的;负债的，感恩的"
detector (n.探测器
desperate (adj.拼命的
gather (v.聚集;收集;采集;使..聚集
considerable (adi.相当大的
ample (adj.富足的，丰满的，宽敞的
compassionate(adj.有同情心的
gesture 手势，姿势n.
infer 推断vt.
abundance 大量;丰富，充裕n
fragrant 芬芳的，香的adj.
advancements 进步，进展，升任n
athlete 运动员，田径运动员n.
damp 潮湿的，有湿气的，adi.抑制v
moisture 水分，潮湿，湿度，湿气n
intend 打算 v.
bare 空的adj.
glow 发光，发出微光;vi.光亮，光辉 n.
conflict 冲突，争执，矛盾n.
