admit	"v.承认；准许进入；接纳，接收（入学）"
guidance(n.)指导，引导
enterprise"n.企业(或事业)单位 ，公司”
identify(v.)识别出;确定，鉴定
programmer(n.)程序员
illegal(adj.) 非法的
enquire (v.)询问，打听
dust (n.)尘士，沙士
marine	(adj.) 海洋的
percent	(n.) 百分比
nutrition	(n.) 营养
operation	"n.手术；经营；行动，活动；运转"
moral	"adj.道德（上）的，道义的；n.道德，品行"
require	(v.) 需要；要求，规定
particularly	(adv.) 特别地，尤其
suffering	(n.) 疼痛，苦难
pause	"v.暂停，中止；n.（说话或朗读中的）停顿；中止…"
sculpture	(n.) 雕刻，雕塑
postage	(n.) 邮费
principle	(n.) 原则；原理
salary	(n.) 工资，薪水
German	(n.) 德语；adj.德国的
gum	(n.) 口香糖
proposal	(n.) 提议；建议
sample	"n.(用于检验、分析的)试样，样品"
ancestor	(n.) 祖先
extraordinary	(adj.) 非同寻常的
significance	(n.) 意义，含义
describe	(v.) 描述
dislike	(v.) 不喜欢
commitment	(n.) 承诺，许诺
heaven	(n.) 天堂；极乐世界
widow	(n.) 寡妇，遗孀
million	(num.) 百万；许多
diverse (adj.) 多样的
shave "v.剃（须发），刮脸；n.剃须，修面"
constant (adj.) 持续不断的
establish "v.建立；使成为；确立；创立"
enthusiastic "adj.狂热的，极感兴趣的；热情的"
gorilla (n.) 大猩猩
Switzerland (n.) 瑞士
contemporary (adj.) 当代的，现代的
grave "adj.严肃的，庄重的；n.墓"
convince (vt.) 使信服
ape (n.) 类人猿
greed (n.) 贪欲，贪婪；贪吃
current (adj.) 当前的，现在的
greengrocer (n.) 蔬菜水果商
dial (n.) 仪表盘
grizzly (n.) 灰熊；adj.灰色的
goods (n.) 货物，商品
define (v.) 给（词、短语等）下定义
circumstance (n.) 情况；环境
evident "adj.显然的，明显的，明白的"
seminar (n.) 研讨会
carry out (phr.) 开展
evolve (v.) （使）逐渐发展；进化
forum (n.) 论坛
gram (n.) 克
grand "adj.大的；壮丽的，宏伟的，宏大的"
awkward (adj.) 尴尬的
racial (adj.) 种族的；人种的
accord (n.) 协议；vt.授予
associate "v.关联；联系；与......有关；adj.副的；n.伙伴…"
boast "v.吹嘘；夸耀；（地方、机构等）自豪地拥有（好的…"
glare (n.) 眩目的光；v.怒目而视
commissioner (n.) 委员，专员，理事
burden (n.) 负担
congress (n.) 国会
adjust (v.)调整，调节;适应
metropolitan (adj.)大城市的，大都会的
feature "n.特征，特点，特色;v.以..….为主要组成
association "n.协会，联盟，社团;关联，联想"
overcome (vt.)克服
exceed (v.)超过
force "v.强迫;n.力量;军队，部队”
famine (n.)饥荒;严重的缺乏
fertilizer (n.)肥料，化肥
apparently (adv.) 显然
genuine (adj.) 真的；真正的；真诚的
acknowledge (vt.) 承认；认可
fragile "adj. 易碎的；易损坏的；虚弱的；脆弱的"
sow (v.) 播种；种
motivate (vt.) 激励
precisely "adv. 准确地；精确地；恰恰"
fence (n.) 篱笆， 围栏 ，栅栏
fertile (adj.) 肥沃的
overnight "adv. 整夜 ，一夜之间 ，突然（读作/ ˌouvər ˈnaɪt/） …"
mass "adj. 大量的；n. 大量 ，一堆； [物]质量"
fuel (n.) 燃料；v. 加强；激起
chaos (n.) 混乱 ，纷乱
efficiency (n.)效率
obvious "adj.明显的，显而易见的;了无新意的;平
budget (n.)预算;v.预算 ，安排
dread "v.惧怕，害怕;n.畏惧，恐惧;adi.恐怖的使…"
administration (n.) 管理 ，行政
anxiety (n.) 焦虑
drawer (n.) 抽屉
garlic (n.) 大蒜
assess (vt.) 评估
economics (n.) 经济学；经济情况
engage (v.) 参加；使订婚
disadvantage	(n.) 弊端
set	"v.创建，建立；调整好；（小心地）放置；n.一…"
diverse	(adj.) 多样的
shave	"v.剃（须发），刮脸；n.剃须，修面"
grocer	(n.) 食品杂货商
species	(n.) 物种
ecology	(n.) 生态
guilty	(adj.) 内疚的
effective	(adj.) 有效的
constant	(adj.) 持续不断的
establish	"v.建立；使成为；确立；创立"
exist	(vi.) 存在
encounter	"vt.邂逅，偶遇；n.相遇，邂逅"
enthusiastic	"adj.狂热的，极感兴趣的；热情的"
give in	(phr.) 屈服
haircut	(n.) 理发；发型
expense	"n.开销，开支；花费，费用；代价"
max	"abbr.<非正式>最大的，最大限度的（同maximum）"
extend	(v.) 扩展；延长；提供，给予
discourage	(vt.) 阻拦；阻止；使泄气
facility	(n.) 设施，设备
gorilla	(n.) 大猩猩
Switzerland	(n.) 瑞士
atmosphere	(n.) 氛围，气氛；大气；空气
geology	(n.) 地质学
alcoholic	(adj.) 含酒精的
geometry	(n.) 几何学；几何形状
awkward	(adj.) 尴尬的
germ	"n.细菌；（某事的）发端，萌芽"
racial	(adj.) 种族的；人种的
accord	(n.) 协议；vt.授予
apart	"adv.成碎片；分离地，分开地；相隔，相距"
professional	(adj.) 专业的；n.专业人员
laptop	(n.) 笔记本电脑
ham	(n.) 火腿
giant	(adj.) 巨大的，特大的
associate	"v.关联；联系；与......有关；adj.副的；n.伙伴…"
gifted	(adj.) 有天赋的；有才华的
tractor	(n.) 拖拉机，牵引车
boast	"v.吹嘘；夸耀；（地方、机构等）自豪地拥有（好的…"
glance	(n.) 一瞥，扫视；v.看一下
glare	(n.) 眩目的光；v.怒目而视
outdrive	(v.) 驾车快于
glory	(n.) 光荣，荣誉
commissioner	(n.) 委员，专员，理事
burden	(n.) 负担
instrument	(n.) 仪器；乐器
congress	(n.) 国会
entertainment	(n.) 娱乐
adjust (v.)调整，调节;适应
circuit(n.)电路，线路
fluent(adj.)(语言)讲得流利的
metropolitan(adj.)大城市的，大都会的
feature "n.特征，特点，特色;v.以..….为主要组成
association"n.协会，联盟，社团;关联，联想"
geologist(n.)地质学家
stewardship"n.管理员、服务员等的职位和职责
aggressive(adj.)有攻击性的;好斗的
adolescent(n.)青少年;adi. 青春期的
theme(n.)主题
effort (n.)努力;力气，精力
scent (n.)气味
host"n.主人，东道主;节目主持人;大量;v.主持，主办”
overcome(vt.)克服
energize (v.)使..精力充沛
bill "n. 账单;纸币 ，钞票;议案 ，法案”
equality(n.)同等，:平等;【数】 等式
eruption(n.)喷发
exceed (v.)超过
force"v.强迫;n.力量;军队，部队”
explicit(adj.)明确的
wheat(n.)小麦
energetic"adi.精力充沛的 ，充满活力的"
condition"n.条件;状况，状态;v使适应，使处于良好状态”
rise"v.升起，上升，上涨;增长;升高 …"
convenience(n.)方便;便利设施
famine(n.)饥荒;严重的缺乏
destination(n.)目的地
entertaining(adi.)有趣的，令人愉快的使变成粉
powder(n.)粉末;火药:细雪;.抹粉:酒粉于
access"n.(使用或见到的)机会，权利;接触，通道;访问”
endeavor"n.尝试 ，努力 ，尽力;v.努力 ，尽力
dozen(num.)许多;一打，十二个
category(n.)类别
gather (v.聚集;收集:采集:使.聚集
infer 推断vt.
advancements 进步，进展，升任
easy-going(adj.)随和的
fasten(v.)扎牢;扣住
fertilizer (n.)肥料，化肥
